case_id,supplier_id,risk_family,risk_family_label,risk_type,multiplier,event_start_day,event_end_day,impact_score,impact_pct,impact_explanation,fill_rate,fill_rate_delta_pts,ending_backlog,product_availability,product_availability_delta_pts,line_adherence,line_adherence_delta_pts,line_nervousness,line_nervousness_delta,production_replanning_count,production_replanning_delta,raw_material_stockout_days,raw_material_stockout_days_delta,material_delay_days,material_delay_days_delta,total_cost,total_cost_delta,total_cost_delta_pct,inventory_cost,inventory_cost_delta,total_unreliable_loss_qty,total_unreliable_loss_delta,total_shipped,total_shipped_delta,case_dir,score_decisionnel_modele,score_decisionnel_pct,impact_metier_score,impact_metier_pct,impact_metier_kpi,impact_metier_delta,impact_metier_lecture,cout_interpretation
SDC-VD0525412A__stock,SDC-VD0525412A,stock,Stock fournisseur,stock,0.5,0,364,6.7772e-05,0.0068,flux expedies -108932,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26571593.5155,-41245.2801,-0.154983,2440345.3665,372.1934,0.0,0.0,485205859.0177,-108931.5102,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0525412A__stock,6.7772e-05,0.0068,0.002244554,0.2245,Flux fournisseur expedies,-108932,flux expedies -108932,cout en baisse car flux/achats baissent: ne pas lire comme un gain
SDC-VD0525412A__lead,SDC-VD0525412A,lead,Delai fournisseur,lead_time_extra_days,30.0,0,364,0.049056749,4.9057,adherence -0.6 pts ; replanifications +12 ; nervosite +1 ; jours stock MP zero +12 ; cout +5.3%,1.0,0.0,0.0,0.995714286,0.0,0.93856462,-0.581836,17.0,1.0,72.0,12.0,70.0,12.0,0.0,0.0,28013176.2801,1400337.4845,5.261887,2438443.9952,-1529.1779,0.0,0.0,488934319.2422,3619528.7143,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0525412A__lead,0.049056749,4.9057,0.4,40.0,Stock MP a zero,+12 j,adherence -0.6 pts ; replanifications +12 ; nervosite +1 ; jours stock MP zero +12 ; cout +5.3%,cout en hausse vs reference
SDC-VD0525412A__reliability,SDC-VD0525412A,reliability,Fiabilite fournisseur,reliability,0.9,0,364,0.004449888,0.445,adherence -0.0 pts ; replanifications +1 ; jours stock MP zero +1 ; volume utile perdu par fiabilite -1396000 ; flux expedies -1224551,1.0,0.0,0.0,0.995714286,0.0,0.94420027,-0.018271,16.0,0.0,61.0,1.0,59.0,1.0,0.0,0.0,26155456.1918,-457382.6038,-1.718654,2442826.3209,2853.1478,1396000.0,1396000.0,484090239.9769,-1224550.551,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0525412A__reliability,0.004449888,0.445,0.057529671,5.753,Volume utile perdu par fiabilite,-1396000,adherence -0.0 pts ; replanifications +1 ; jours stock MP zero +1 ; volume utile perdu par fiabilite -1396000 ; flux expedies -1224551,cout en baisse car flux/achats baissent: ne pas lire comme un gain
SDC-VD0525412A__quality,SDC-VD0525412A,quality,Qualite / release,quality_delay,14.0,0,364,0.035303796,3.5304,adherence -0.5 pts ; replanifications +9 ; nervosite +3 ; jours stock MP zero +9 ; cout +2.8%,1.0,0.0,0.0,0.995714286,0.0,0.939438281,-0.49447,19.0,3.0,69.0,9.0,67.0,9.0,0.0,0.0,27368703.1281,755864.3325,2.840224,2445009.2155,5036.0424,0.0,0.0,487198704.6503,1883914.1224,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0525412A__quality,0.035303796,3.5304,0.3,30.0,Stock MP a zero,+9 j,adherence -0.5 pts ; replanifications +9 ; nervosite +3 ; jours stock MP zero +9 ; cout +2.8%,cout en hausse vs reference
SDC-VD0525412A__upstream,SDC-VD0525412A,upstream,Appro amont fournisseur,external_capacity,0.5,0,364,4.3271e-05,0.0043,flux expedies -105000,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26557983.3265,-54855.4691,-0.206124,2436574.5609,-3398.6122,0.0,0.0,485209790.5279,-105000.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0525412A__upstream,4.3271e-05,0.0043,0.002163544,0.2164,Flux fournisseur expedies,-105000,flux expedies -105000,cout en baisse car flux/achats baissent: ne pas lire comme un gain
SDC-VD0525412A__cost,SDC-VD0525412A,cost,Cout achat / transport,purchase_cost,1.5,0,364,0.025216103,2.5216,cout +10.1%,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,29297127.0456,2684288.25,10.086441,2439973.1731,0.0,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0525412A__cost,0.025216103,2.5216,0.50432205,50.4322,Cout total,+10.1%,cout +10.1%,cout en hausse vs reference
SDC-VD0508918A__capacity,SDC-VD0508918A,capacity,Capacite fournisseur,capacity,0.5,0,364,0.0,0.0,aucune degradation KPI visible,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26612838.7956,0.0,0.0,2439973.1731,0.0,0.0,0.0,485314790.5279,0.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0508918A__capacity,0.0,0.0,0.0,0.0,Fill rate client,0.0 pts,aucune degradation KPI visible,
SDC-VD0508918A__stock,SDC-VD0508918A,stock,Stock fournisseur,stock,0.5,0,364,0.000152478,0.0152,flux expedies -370000,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26594572.9871,-18265.8085,-0.068635,2436793.0641,-3180.109,0.0,0.0,484944790.5279,-370000.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0508918A__stock,0.000152478,0.0152,0.007623918,0.7624,Flux fournisseur expedies,-370000,flux expedies -370000,cout en baisse car flux/achats baissent: ne pas lire comme un gain
SDC-VD0508918A__lead,SDC-VD0508918A,lead,Delai fournisseur,lead_time_extra_days,30.0,0,364,0.065310583,6.5311,adherence -0.0 pts ; replanifications +25 ; jours stock MP zero +25 ; cout +1.8%,1.0,0.0,0.0,0.995714286,0.0,0.944114025,-0.026896,16.0,0.0,85.0,25.0,83.0,25.0,0.0,0.0,27084683.7701,471844.9745,1.772998,2449006.5381,9033.365,0.0,0.0,487482230.1606,2167439.6327,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0508918A__lead,0.065310583,6.5311,0.833333333,83.3333,Stock MP a zero,+25 j,adherence -0.0 pts ; replanifications +25 ; jours stock MP zero +25 ; cout +1.8%,cout en hausse vs reference
SDC-VD0508918A__reliability,SDC-VD0508918A,reliability,Fiabilite fournisseur,reliability,0.9,0,364,0.000320205,0.032,volume utile perdu par fiabilite -259000 ; flux expedies -259000,1.0,0.0,0.0,0.995714286,0.0,0.944382984,0.0,16.0,0.0,60.0,0.0,58.0,0.0,0.0,0.0,26590435.4591,-22403.3365,-0.084182,2435390.8556,-4582.3175,259000.0,259000.0,485055790.5279,-259000.0,etudecas\simulation\sensibility\supplier_risk_campaign_multisource_result\cases\SDC-VD0508918A__reliability,0.000320205,0.032,0.010673485,1.0673,Volume utile perdu par fiabilite,-259000,volume utile perdu par fiabilite -259000 ; flux expedies -259000,cout en baisse car flux/achats baissent: ne pas lire comme un gain
