month_index,year,month,climate_event,operational_feedback_event,backlog_end,capacity_utilization,grid_share,scarcity,outbound_mode,regime_environnemental,evt_canicule,evt_secheresse,evt_tempete_inondation,evt_maintenance_corrective,evt_congestion_logistique,evt_overtime_energetique,evt_capacite_appoint,evt_recalage_qualite
186,2041,6,canicule + secheresse,site en surchauffe + stress matiere / eau + maintenance corrective + capacite d'appoint + recalage qualite,3.5956791843765004,1.0,0.9333194091467447,0.8746757322175732,truck,crise,1,1,0,1,0,0,1,1
187,2041,7,canicule + secheresse,site en surchauffe + stress matiere / eau + maintenance corrective + capacite d'appoint + recalage qualite,3.714936593370659,1.0,0.9195207256827668,0.8772280334728033,truck,crise,1,1,0,1,0,0,1,1
188,2041,8,canicule,site en surchauffe + maintenance corrective + capacite d'appoint + recalage qualite,1.6076999040744688,1.0,0.8966720816655968,0.3190794979079498,truck,crise,1,0,0,1,0,0,1,1
189,2041,9,aucun,capacite d'appoint,0.0,0.7324047986420575,0.8316628604049405,0.3202510460251047,truck,nominal,0,0,0,0,0,0,1,0
190,2041,10,tempete / inondation,desorganisation logistique,6.986030058577404,0.6999270436602637,0.8473272911061193,0.5290627615062762,truck,tendu,0,0,1,0,0,0,0,0
191,2041,11,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,9.347836522746327,1.0,0.9063329900453407,0.5307615062761506,truck,crise,0,0,1,1,0,0,1,1
192,2041,12,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,1.0,0.9146663762668434,0.3237656903765691,truck,crise,0,0,0,1,0,0,1,1
193,2042,1,tempete / inondation,desorganisation logistique,7.622542281729427,0.8474166936032786,0.892819235781184,0.485468619246862,truck,tendu,0,0,1,0,0,0,0,0
194,2042,2,tempete / inondation,desorganisation logistique + capacite d'appoint + recalage qualite,10.313899863238639,0.914616867892299,0.8926916868529163,0.4870543933054394,truck,crise,0,0,1,0,0,0,1,1
195,2042,3,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,1.0,0.9156375353233089,0.32728033472803353,truck,crise,0,0,0,1,0,0,1,1
196,2042,4,secheresse,stress matiere / eau,2.016230292887027,0.7955795828031664,0.9021343199373125,0.942887029288703,truck,tendu,0,1,0,0,0,0,0,0
197,2042,5,secheresse,stress matiere / eau + capacite d'appoint,2.1626670977095124,0.7554604114004687,0.8924882785368173,0.9450941422594143,truck,tendu,0,1,0,0,0,0,1,0
198,2042,6,canicule + secheresse,site en surchauffe + stress matiere / eau + maintenance corrective + capacite d'appoint + recalage qualite,3.668834835900519,1.0,0.9364925633730637,0.9473012552301255,truck,crise,1,1,0,1,0,0,1,1
199,2042,7,canicule + secheresse,site en surchauffe + stress matiere / eau + maintenance corrective + capacite d'appoint + recalage qualite,3.7724647028960376,1.0,0.9215403219969186,0.949508368200837,truck,crise,1,1,0,1,0,0,1,1
200,2042,8,canicule,site en surchauffe + maintenance corrective + capacite d'appoint + recalage qualite,1.6322924776752785,1.0,0.8961965687145026,0.33313807531380757,truck,crise,1,0,0,1,0,0,1,1
201,2042,9,aucun,capacite d'appoint,0.0,0.7410128750703732,0.834138024851835,0.3343096234309624,truck,nominal,0,0,0,0,0,0,1,0
202,2042,10,tempete / inondation,desorganisation logistique,7.095812284518827,0.7099227790852676,0.851120024391653,0.5494476987447698,truck,tendu,0,0,1,0,0,0,0,0
203,2042,11,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,9.492749060989006,1.0,0.9075450529622688,0.5511464435146444,truck,crise,0,0,1,1,0,0,1,1
204,2042,12,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,1.0,0.9158765592830196,0.3378242677824268,truck,crise,0,0,0,1,0,0,1,1
205,2043,1,tempete / inondation,desorganisation logistique,7.73232450767085,0.8579641098075345,0.8919205231433848,0.5044979079497908,truck,tendu,0,0,1,0,0,0,0,0
206,2043,2,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,10.458812401481318,1.0,0.9127839456693372,0.5060836820083683,truck,crise,0,0,1,1,0,0,1,1
207,2043,3,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,1.0,0.9096793100012445,0.3413389121338912,truck,crise,0,0,0,1,0,0,1,1
208,2043,4,secheresse,stress matiere / eau,2.0436758493723843,0.803943665912299,0.9148422258681876,0.9693723849372387,truck,tendu,0,1,0,0,0,0,0,0
209,2043,5,secheresse,stress matiere / eau + capacite d'appoint,2.1923082987136944,0.8001406109694904,0.9104633615102323,0.9715794979079498,truck,tendu,0,1,0,0,0,0,1,0
210,2043,6,canicule + secheresse,site en surchauffe + stress matiere / eau + maintenance corrective + capacite d'appoint + recalage qualite,3.720479791715615,1.0,0.9373960018799543,0.973786610878661,truck,crise,1,1,0,1,0,0,1,1
211,2043,7,canicule + secheresse,site en surchauffe + stress matiere / eau + maintenance corrective + capacite d'appoint + recalage qualite,3.8270845663615702,1.0,0.9223905259068286,0.9759937238493724,truck,crise,1,1,0,1,0,0,1,1
212,2043,8,canicule,site en surchauffe + maintenance corrective + capacite d'appoint + recalage qualite,1.6567105565125004,1.0,0.8964490866918162,0.3471966527196653,truck,crise,1,0,0,1,0,0,1,1
213,2043,9,aucun,capacite d'appoint,0.0,0.7495516886646771,0.8367753176911176,0.3483682008368201,truck,nominal,0,0,0,0,0,0,1,0
214,2043,10,tempete / inondation,desorganisation logistique,7.20559451046025,0.7198903413235884,0.8538656495806421,0.5698326359832636,truck,tendu,0,0,1,0,0,0,0,0
215,2043,11,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,9.63766159923168,1.0,0.9080219808842874,0.571531380753138,truck,crise,0,0,1,1,0,0,1,1
216,2043,12,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,1.0,0.9163679012457515,0.3518828451882845,truck,crise,0,0,0,1,0,0,1,1
217,2044,1,tempete / inondation,desorganisation logistique + recalage qualite,7.8421067336122725,0.8684709336193226,0.8934446036471768,0.5235271966527197,truck,tendu,0,0,1,0,0,0,0,1
218,2044,2,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,10.603724939723993,1.0,0.909859909754334,0.525112970711297,truck,crise,0,0,1,1,0,0,1,1
219,2044,3,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,1.0,0.9101533764047537,0.35539748953974903,truck,crise,0,0,0,1,0,0,1,1
220,2044,4,secheresse,stress matiere / eau,2.0711214058577383,0.812256758590691,0.9168269967357874,0.9958577405857743,truck,tendu,0,1,0,0,0,0,0,0
221,2044,5,secheresse,stress matiere / eau + capacite d'appoint,2.22194949971788,0.8108816072542768,0.9127365268698535,0.9980648535564854,truck,tendu,0,1,0,0,0,0,1,0
222,2044,6,canicule + secheresse,site en surchauffe + stress matiere / eau + maintenance corrective + capacite d'appoint + recalage qualite,3.772124747530711,1.0,0.937932574095908,1.0002719665271966,truck,crise,1,1,0,1,0,0,1,1
223,2044,7,canicule + secheresse,site en surchauffe + stress matiere / eau + maintenance corrective + capacite d'appoint + recalage qualite,3.8817044298270993,1.0,0.922665641038174,1.002479079497908,truck,crise,1,1,0,1,0,0,1,1
224,2044,8,canicule,site en surchauffe + maintenance corrective + capacite d'appoint + recalage qualite,1.6811286353497188,1.0,0.8960497874653858,0.3612552301255231,truck,crise,1,0,0,1,0,0,1,1
225,2044,9,aucun,capacite d'appoint,0.0,0.7580269311445283,0.8388807152372563,0.3624267782426779,truck,nominal,0,0,0,0,0,0,1,0
226,2044,10,tempete / inondation,desorganisation logistique,7.315376736401673,0.729829849317669,0.8561446383692799,0.5902175732217574,truck,tendu,0,0,1,0,0,0,0,0
227,2044,11,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,9.78257413747436,1.0,0.9082552140589929,0.5919163179916318,truck,crise,0,0,1,1,0,0,1,1
228,2044,12,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,1.0,0.9166437080705527,0.3659414225941423,truck,crise,0,0,0,1,0,0,1,1
229,2045,1,tempete / inondation,desorganisation logistique + recalage qualite,7.9518889595536955,0.8789373989221355,0.8945393136631933,0.5425564853556486,truck,tendu,0,0,1,0,0,0,0,1
230,2045,2,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,10.748637477966671,1.0,0.9098953213338942,0.544142259414226,truck,crise,0,0,1,1,0,0,1,1
231,2045,3,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,1.0,0.9104435430311479,0.36945606694560673,truck,crise,0,0,0,1,0,0,1,1
232,2045,4,secheresse,stress matiere / eau,2.098566962343096,0.8205193257050962,0.9185439963957429,1.0223430962343096,truck,tendu,0,1,0,0,0,0,0,0
233,2045,5,secheresse,stress matiere / eau + capacite d'appoint,2.2515907007220655,0.7880254131052014,0.9005500547276489,1.024550209205021,truck,tendu,0,1,0,0,0,0,1,0
234,2045,6,canicule + secheresse,site en surchauffe + stress matiere / eau + maintenance corrective + capacite d'appoint + recalage qualite,3.823769703345807,1.0,0.9381101682350029,1.0267573221757322,truck,crise,1,1,0,1,0,0,1,1
235,2045,7,canicule + secheresse,site en surchauffe + stress matiere / eau + maintenance corrective + capacite d'appoint + recalage qualite,3.936324293292632,1.0,0.9223388201694424,1.0289644351464435,truck,crise,1,1,0,1,0,0,1,1
236,2045,8,canicule,site en surchauffe + maintenance corrective + capacite d'appoint + recalage qualite,1.7055467141869407,1.0,0.8949000257378932,0.37531380753138077,truck,crise,1,0,0,1,0,0,1,1
237,2045,9,aucun,capacite d'appoint,0.0,0.7664393098035212,0.8404766302153402,0.3764853556485356,truck,nominal,0,0,0,0,0,0,1,0
238,2045,10,tempete / inondation,desorganisation logistique,7.425158962343096,0.7397414213413516,0.8579738656994652,0.610602510460251,truck,tendu,0,0,1,0,0,0,0,0
239,2045,11,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,9.927486675717038,1.0,0.9082297737026807,0.6123012552301255,truck,crise,0,0,1,1,0,0,1,1
240,2045,12,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,1.0,0.9166908366701594,0.38,truck,crise,0,0,0,1,0,0,1,1
