activity_name,name,amount,database,location,unit,type,formula,original_amount,reference_product,unknown,categories
Ensemble palette optimisee,market for nylon 6-6,0.0412,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,epo_m_pa66_nylon,1.0,nylon 6-6,,
Ensemble palette optimisee,"market for polypropylene, granulate",0.00514,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,epo_m_solv_pp,1.0,"polypropylene, granulate",,
Ensemble palette optimisee,market for scrap steel,0.06539,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,epo_eol_inox+epo_eol_35nc6+epo_eol_acier,1.0,scrap steel,,
Ensemble palette optimisee,"market for selective coat, stainless steel sheet, black chrome",1.08,ecoinvent-3.10-cutoff,GLO,square meter,technosphere,epo_pass_alu2017,1.0,"selective coat, stainless steel sheet, black chrome",,
Ensemble palette optimisee,"market for transport, freight, lorry 16-32 metric ton, EURO6",15.8,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,epo_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO6",,
Ensemble palette optimisee,market group for tap water,0.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,epo_m_water_nylon+epo_m_water_pp,1.0,tap water,,
Ensemble palette optimisee,plywood production,0.415,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,epo_m_ply_pack,1.0,"wood chips, dry, measured as dry mass",,
Ensemble palette optimisee,"polyethylene production, low density, granulate",0.00219,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,epo_m_pe_pack,1.0,"polyethylene, low density, granulate",,
Ensemble palette optimisee,"steel production, chromium steel 18/8, hot rolled",0.0261,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,epo_m_inox,1.0,"steel, chromium steel 18/8, hot rolled",,
Ensemble palette optimisee,"steel production, converter, low-alloyed",0.63421,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,epo_eol_35nc6+epo_eol_acier,1.0,"steel, low-alloyed",,
Ensemble palette optimisee,"treatment of aluminium scrap, new, at remelter",76.4321,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,epo_eol_alu2017+epo_eol_alu,1.0,"aluminium, wrought alloy",,
Ensemble porte,Ensemble porte,1.0,OPERA,FR,unit,production,,,Ensemble porte,,
Ensemble porte,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",0.00138,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,eporte_inc_elec_nyl,1.0,"electricity, medium voltage",,
Ensemble porte,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",0.00246,ecoinvent-3.10-cutoff,FR,megajoule,technosphere,eporte_inc_heat_nyl,1.0,"heat, district or industrial, other than natural gas",,
Ensemble porte,"market for aluminium, primary, ingot",6.8839999999999995,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,eporte_m_alu-eporte_eol_alu,1.0,"aluminium, primary, ingot",,
Ensemble porte,"market for electricity, low voltage",0.6308666666666667,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,eporte_elec_alu/3.6+eporte_elec_inox/3.6+eporte_elec_acier/3.6+eporte_elec_nyl/3.6+eporte_elec_ert/3.6,1.0,"electricity, low voltage",,
Ensemble porte,market for folding boxboard carton,0.0197,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eporte_box_pack,1.0,folding boxboard carton,,
Ensemble porte,market for nylon 6,0.00206,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eporte_m_pa6_ert,1.0,nylon 6,,
Ensemble porte,market for nylon 6-6,0.0107,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eporte_m_pa66_nyl,1.0,nylon 6-6,,
Ensemble porte,"market for polyvinylchloride, suspension polymerised",1.8619999999999999,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,eporte_m_pvc_kyr+eporte_m_pvc_aer,1.0,"polyvinylchloride, suspension polymerised",,
Ensemble porte,market for scrap steel,0.004731,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,eporte_eol_inox+eporte_eol_acier,1.0,scrap steel,,
Ensemble porte,"market for selective coat, aluminium sheet, nickel pigmented aluminium oxide",0.3,ecoinvent-3.10-cutoff,GLO,square meter,technosphere,eporte_pass_alu,1.0,"selective coat, aluminium sheet, nickel pigmented aluminium oxide",,
Ensemble porte,"market for transport, freight, lorry 16-32 metric ton, EURO5",7.73,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,eporte_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Ensemble porte,market group for tap water,0.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,eporte_m_water_nyl+eporte_m_water_ert,1.0,tap water,,
Ensemble porte,plywood production,0.415,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eporte_ply_pack,1.0,"wood chips, dry, measured as dry mass",,
Ensemble porte,"polyethylene production, low density, granulate",0.00219,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eporte_pe_pack,1.0,"polyethylene, low density, granulate",,
Ensemble porte,"steel production, converter, low-alloyed",0.042569,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-eporte_eol_inox+eporte_m_acier-eporte_eol_acier,1.0,"steel, low-alloyed",,
Ensemble porte,"treatment of aluminium scrap, new, at remelter",0.666,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,eporte_eol_alu,1.0,"aluminium, wrought alloy",,
Ensemble stowage lateral,Ensemble stowage lateral,1.0,OPERA,FR,unit,production,,,Ensemble stowage lateral,,
Ensemble stowage lateral,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",0.000797,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,esl_inc_elec_nylon,1.0,"electricity, medium voltage",,
Ensemble stowage lateral,"fleece production, polyethylene",0.000417,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,esl_m_pe_pack,1.0,"fleece, polyethylene",,
Ensemble stowage lateral,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",0.00142,ecoinvent-3.10-cutoff,FR,megajoule,technosphere,esl_inc_heat_nylon,1.0,"heat, district or industrial, other than natural gas",,
Ensemble stowage lateral,"market for aluminium, primary, ingot",0.8477,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,esl_m_alu2017-esl_eol_alu5086,1.0,"aluminium, primary, ingot",,
Ensemble stowage lateral,"market for compressed air, 1000 kPa gauge",0.0164,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,esl_air_alu5086,1.0,"compressed air, 1000 kPa gauge",,
Ensemble stowage lateral,"market for electricity, low voltage",0.045183333333333325,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,esl_elec_alu5086/3.6+esl_elec_air_alu5086/3.6+esl_elec_acier/3.6+esl_elec_nylon/3.6+esl_elec_ert/3.6,1.0,"electricity, low voltage",,
Ensemble stowage lateral,market for lubricating oil,2.87e-05,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,esl_lub_alu5086,1.0,lubricating oil,,
Ensemble stowage lateral,market for nylon 6-6,0.00618,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,esl_m_pa66_nylon,1.0,nylon 6-6,,
Ensemble stowage lateral,market for plywood,0.079,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,esl_m_ply_pack,1.0,plywood,,
Ensemble stowage lateral,"market for polyurethane, flexible foam",0.016,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,esl_pu_frm,1.0,"polyurethane, flexible foam",,
Ensemble stowage lateral,market for scrap steel,0.00368,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,esl_eol_acier+esl_eol_15cd,1.0,scrap steel,,
Ensemble stowage lateral,"market for transport, freight, lorry 16-32 metric ton, EURO5",1.47,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,esl_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Ensemble stowage lateral,market group for tap water,0.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,esl_m_wat_nylon+esl_m_wat_ert,1.0,tap water,,
Ensemble stowage lateral,nylon 6 production,0.00309,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,esl_m_pa6_ert,1.0,nylon 6,,
Ensemble stowage lateral,"polyvinylchloride production, suspension polymerisation",1.332,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,esl_pvc_kyr+esl_pvc_cuir,1.0,"polyvinylchloride, suspension polymerised",,
Ensemble stowage lateral,"steel production, converter, low-alloyed",0.025379999999999996,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-esl_eol_acier+esl_m_acier+esl_m_15cd-esl_eol_15cd,1.0,"steel, low-alloyed",,
Ensemble stowage lateral,"treatment of aluminium scrap, new, at remelter",0.0323,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,esl_eol_alu5086,1.0,"aluminium, wrought alloy",,
Ensemble structure fixe,Ensemble structure fixe,1.0,OPERA,FR,unit,production,,,Ensemble structure fixe,,
Ensemble structure fixe,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",0.00354,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,esfi_inc_elec_nyl,1.0,"electricity, medium voltage",,
Ensemble structure fixe,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",0.00631,ecoinvent-3.10-cutoff,FR,megajoule,technosphere,esfi_inc_heat_nyl,1.0,"heat, district or industrial, other than natural gas",,
Ensemble structure fixe,market for EUR-flat pallet,0.2018856116124604,ecoinvent-3.10-cutoff,RER,unit,technosphere,esfi_pallet_pack/24.7665,1.0,EUR-flat pallet,,
Ensemble structure fixe,"market for aluminium, primary, ingot",3.8000000000000007,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,esfi_m_alu-esfi_eol_alu,1.0,"aluminium, primary, ingot",,
Ensemble structure fixe,"market for electricity, low voltage",1.6710888888888893,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,esfi_elec_alu/3.6+esfi_elec_inox/3.6+esfi_elec_acier/3.6+esfi_elec_35nc6/3.6+esfi_elec_nyl/3.6,1.0,"electricity, low voltage",,
Ensemble structure fixe,market for kraft paper,0.05,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,esfi_pap_pack,1.0,kraft paper,,
Ensemble structure fixe,market for nylon 6-6,0.0274,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,esfi_m_pa66_nyl,1.0,nylon 6-6,,
Ensemble structure fixe,market for scrap steel,0.17367,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,esfi_eol_inox+esfi_eol_acier+esfi_eol_35nc6,1.0,scrap steel,,
Ensemble structure fixe,market for silicone product,0.01,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,esfi_chloro_caou,1.0,silicone product,,
Ensemble structure fixe,"market for transport, freight, lorry 16-32 metric ton, EURO5",2.97,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,esfi_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Ensemble structure fixe,market group for tap water,0.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,esfi_m_water_nyl,1.0,tap water,,
Ensemble structure fixe,"steel production, converter, low-alloyed",1.4282300000000003,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-esfi_eol_inox+esfi_m_acier-esfi_eol_acier-esfi_eol_35nc6+esfi_m_35nc6,1.0,"steel, low-alloyed",,
Ensemble structure fixe,"treatment of aluminium scrap, new, at remelter",14.8,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,esfi_eol_alu,1.0,"aluminium, wrought alloy",,
Ensemble tablette cocktail,Ensemble tablette cocktail,1.0,OPERA,FR,unit,production,,,Ensemble tablette cocktail,,
Ensemble tablette cocktail,"fleece production, polyethylene",0.00375,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ETC_m_pe_pack,1.0,"fleece, polyethylene",,
Ensemble tablette cocktail,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",0.0618,ecoinvent-3.10-cutoff,FR,megajoule,technosphere,ETC_inc_heat_nylon,1.0,"heat, district or industrial, other than natural gas",,
Ensemble tablette cocktail,"market for aluminium, primary, ingot",15.885,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,ETC_m_al_2017+ETC_m_al_2024-ETC_eol_al_2017- ETC_eol_al_2024,1.0,"aluminium, primary, ingot",,
Ensemble tablette cocktail,"market for electricity, low voltage",5.613955555555555,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,ETC_elec_nylon/3.6+ETC_inc_elec_nylon/ 3.6+etc_elec_acier/ 3.6+ETC_elec_al_2017/ 3.6+ETC_elec_al_2024/ 3.6+ETC_elec_inox/ 3.6,1.0,"electricity, low voltage",,
Ensemble tablette cocktail,market for nylon 6-6,0.269,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ETC_m_pa66_nylon,1.0,nylon 6-6,,
Ensemble tablette cocktail,market for plywood,0.0712,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,ETC_plywood_pack,1.0,plywood,,
Ensemble tablette cocktail,market for scrap steel,0.11319,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,ETC_eol_inox+etc_scrap_steel,1.0,scrap steel,,
Ensemble tablette cocktail,"market for selective coat, stainless steel sheet, black chrome",0.42,ecoinvent-3.10-cutoff,GLO,square meter,technosphere,ETC_pass_alu_2017,1.0,"selective coat, stainless steel sheet, black chrome",,
Ensemble tablette cocktail,"market for transport, freight, lorry 16-32 metric ton, EURO5",0.87,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,ETC_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Ensemble tablette cocktail,market for wood wool,0.002,ecoinvent-3.10-cutoff,RoW,kilogram,technosphere,ETC_m_tissu,1.0,wood wool,,
Ensemble tablette cocktail,market group for tap water,0.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,ETC_m_water_nylon,1.0,tap water,,
Ensemble tablette cocktail,"polyvinylchloride production, bulk polymerisation",0.477,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ETC_pvc_kyrdex,1.0,"polyvinylchloride, bulk polymerised",,
Ensemble tablette cocktail,"steel production, chromium steel 18/8, hot rolled",0.0132,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ETC_m_inox,1.0,"steel, chromium steel 18/8, hot rolled",,
Ensemble tablette cocktail,"steel production, converter, low-alloyed",3.96721,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_ss_z1_SF+m_steel_30nc6_SF+m_ss_z15_SF-ETC_eol_inox-etc_scrap_steel+m_steel_30ncd_SF,1.0,"steel, low-alloyed",,
Ensemble tablette cocktail,"tin plated chromium steel sheet production, 2 mm",0.4292,ecoinvent-3.10-cutoff,RoW,square meter,technosphere,m_tin_30ncd_SF,1.0,"tin plated chromium steel sheet, 2 mm",,
Ensemble tablette cocktail,"treatment of aluminium scrap, new, at remelter",63.848,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ETC_m_al_2017+ETC_eol_al_2024,1.0,"aluminium, wrought alloy",,
Ensemble tablette repas,Ensemble tablette repas,1.0,OPERA,FR,unit,production,,,Ensemble tablette repas,,
Ensemble tablette repas,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",0.0015638888888888892,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,etr_inc_elec_nylon/ 3.6+etr_inc_elec_ert/ 3.6,1.0,"electricity, medium voltage",,
Ensemble tablette repas,"fleece production, polyethylene",0.002,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,etr_m_pe_pack,1.0,"fleece, polyethylene",,
Ensemble tablette repas,"heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas",0.01,ecoinvent-3.10-cutoff,FR,megajoule,technosphere,etr_inc_heat_nylon+etr_inc_heat_ert,1.0,"heat, district or industrial, other than natural gas",,
Ensemble tablette repas,"market for aluminium, primary, ingot",6.973099999999995,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,etr_m_alu2017+etr_m_alu2024-etr_eol_alu2017- etr_eol_alu2024+etr_m_alu2075-etr_eol_alu2075,1.0,"aluminium, primary, ingot",,
Ensemble tablette repas,"market for electricity, low voltage",3.5978972222222225,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,etr_elec_alu2017/3.6+etr_elec_alu2024/3.6+etr_elec_alu2075/3.6+etr_elec_inox/3.6+etr_elec_acier/3.6+etr_elec_nylon/3.6+etr_elec_ert/3.6+etr_elec_sili/3.6,1.0,"electricity, low voltage",,
Ensemble tablette repas,market for nylon 6,0.00721,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,etr_m_pa6_ert,1.0,nylon 6,,
Ensemble tablette repas,market for nylon 6-6,0.0366,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,etr_m_pa66_nylon,1.0,nylon 6-6,,
Ensemble tablette repas,market for plywood,0.038,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,etr_m_plywood_pack,1.0,plywood,,
Ensemble tablette repas,market for scrap steel,0.01289,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,etr_eol_inox+1+scrap steel+etr_eol_acier+1+scrap steel,1.0,scrap steel,,
Ensemble tablette repas,"market for selective coat, copper sheet, black chrome",0.209,ecoinvent-3.10-cutoff,GLO,square meter,technosphere,etr_pass_alu2017,1.0,"selective coat, copper sheet, black chrome",,
Ensemble tablette repas,"market for selective coat, stainless steel sheet, black chrome",0.039,ecoinvent-3.10-cutoff,GLO,square meter,technosphere,etr_pass_alu2024,1.0,"selective coat, stainless steel sheet, black chrome",,
Ensemble tablette repas,market for silicone product,0.000721,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,etr_m_sili,1.0,silicone product,,
Ensemble tablette repas,"market for transport, freight, lorry 16-32 metric ton, EURO5",1.91,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,etr_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Ensemble tablette repas,market group for tap water,0.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,etr_m_water_sili+etr_m_water_nylon + etr_m_wat_ert,1.0,tap water,,
Ensemble tablette repas,"polyvinylchloride production, bulk polymerisation",0.062,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,etr_m_kyrdex,1.0,"polyvinylchloride, bulk polymerised",,
Ensemble tablette repas,"steel production, chromium steel 18/8, hot rolled",0.0154,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,etr_m_inox,1.0,"steel, chromium steel 18/8, hot rolled",,
Ensemble tablette repas,"steel production, converter, low-alloyed",-0.012890000000000002,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,"-etr_eol_inox+1+steel, low-alloyed-etr_eol_acier+1+steel, low-alloyed-etr_eol_acier+etr_m_acier",1.0,"steel, low-alloyed",,
Ensemble tablette repas,"treatment of aluminium scrap, new, at remelter",36.5732,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,etr_eol_alu2017+etr_eol_alu2024+etr_eol_alu2075,1.0,"aluminium, wrought alloy",,
Ensemble tetiere,Ensemble tetiere,1.0,OPERA,FR,unit,production,,,ensemble tetiere,,
Ensemble tetiere,"market for aluminium, primary, ingot",0.47219000000000005,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,ET_m_al_2017+ET_m_al_2024-ET_eol_al_2017-ET_eol_al_2024,1.0,"aluminium, primary, ingot",,
Ensemble tetiere,"market for electricity, low voltage",0.04649999999999999,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,ET_elec_al_2017 / 3.6+ET_elec_al_2024 / 3.6+ET_elec_inox / 3.6+ET_elec_nylon / 3.6,1.0,"electricity, low voltage",,
Ensemble tetiere,market for nylon 6-6,0.00361,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ET_m_pa66_nylon,1.0,nylon 6-6,,
Ensemble tetiere,"market for polyurethane, flexible foam",0.011,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,m_pu_velcro,1.0,"polyurethane, flexible foam",,
Ensemble tetiere,market for scrap steel,9.69e-05,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,ET_eol_inox,1.0,scrap steel,,
Ensemble tetiere,"market for transport, freight, lorry 16-32 metric ton, EURO5",0.398,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,ET_truck,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Ensemble tetiere,market for wood wool,0.181,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ET_m_tissu,1.0,wood wool,,
Ensemble tetiere,market group for tap water,0.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,ET_m_water_nylon,1.0,tap water,,
Ensemble tetiere,"steel production, chromium steel 18/8, hot rolled",0.0011,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ET_m_ss_inox,1.0,"steel, chromium steel 18/8, hot rolled",,
Ensemble tetiere,"steel production, converter, low-alloyed",-9.69e-05,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-ET_eol_inox,1.0,"steel, low-alloyed",,
Ensemble tetiere,"treatment of aluminium scrap, new, at remelter",0.04571,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,ET_eol_al_2017+ET_eol_al_2024,1.0,"aluminium, wrought alloy",,
Habillage sous fauteuil,Habillage sous fauteuil,1.0,OPERA,FR,unit,production,,,Habillage sous fauteuil,,
Habillage sous fauteuil,"compressed air production, 700 kPa gauge, >30kW, average generation",0.078,ecoinvent-3.10-cutoff,RoW,cubic meter,technosphere,hsf_air_alu5086,1.0,"compressed air, 700 kPa gauge",,
Habillage sous fauteuil,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",0.0961111111111111,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,hsf_elec_alu5086/3.6,1.0,"electricity, medium voltage",,
Habillage sous fauteuil,"market for aluminium, primary, ingot",1.036,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,hsf_m_alu5086-hsf_eol_alu5086,1.0,"aluminium, primary, ingot",,
Habillage sous fauteuil,"market for aluminium, primary, ingot",-0.154,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,-hsf_eol_alu5086,1.0,"aluminium, primary, ingot",,
Habillage sous fauteuil,market for corrugated board box,9.15e-07,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,hsf_m_box,1.0,corrugated board box,,
Habillage sous fauteuil,"market for electricity, low voltage",0.06185277777777777,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,hsf_elec_air_alu5086/3.6+hsf_elec_acier/3.6,1.0,"electricity, low voltage",,
Habillage sous fauteuil,"market for electricity, low voltage",0.002408333333333334,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,hsf_elec_acier/3.6,1.0,"electricity, low voltage",,
Habillage sous fauteuil,market for lubricating oil,0.000137,ecoinvent-3.10-cutoff,RoW,kilogram,technosphere,hsf_lub_air_alu5086,1.0,lubricating oil,,
Habillage sous fauteuil,market for nylon 6-6,0.0035,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,hsf_m_pa66_velours,1.0,nylon 6-6,,
Habillage sous fauteuil,market for plywood,1.91e-05,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,hsf_m_ply_pack,1.0,plywood,,
Habillage sous fauteuil,"market for polyurethane, flexible foam",0.0035,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,hsf_m_pu_velours,1.0,"polyurethane, flexible foam",,
Habillage sous fauteuil,market for scrap steel,0.00268,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,technosphere,hsf_eol_acier,1.0,scrap steel,,
Habillage sous fauteuil,market for solvent for paint,1.03,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,hsf_solv_alu5086,1.0,solvent for paint,,
Habillage sous fauteuil,"market for transport, freight, lorry 16-32 metric ton, EURO3",0.634,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,hsf_truc_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO3",,
Habillage sous fauteuil,"polyethylene production, low density, granulate",1.02e-07,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,hsf_m_pe_pack,1.0,"polyethylene, low density, granulate",,
Habillage sous fauteuil,"steel production, converter, low-alloyed",0.02712,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,-hsf_eol_acier+hsf_m_acier,1.0,"steel, low-alloyed",,
Habillage sous fauteuil,"treatment of aluminium scrap, new, at remelter",0.154,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,hsf_eol_alu5086,1.0,"aluminium, wrought alloy",,
Lightning,Lightning,1.0,OPERA,GLO,unit,production,,,Lightning,,
Lightning,folding boxboard carton production,0.9,ecoinvent-3.10-cutoff,RoW,kilogram,technosphere,light_box_pack,1.0,folding boxboard carton,,
Lightning,market for light emitting diode,1.0,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,light_diode,1.0,light emitting diode,,
Lightning,"market for packaging film, low density polyethylene",0.1,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,light_pe_pack,1.0,"packaging film, low density polyethylene",,
Lightning,"market for transport, freight, lorry 16-32 metric ton, EURO5",0.643,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,light_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Lightning,"market for wastewater, average",0.15,ecoinvent-3.10-cutoff,Europe without Switzerland,cubic meter,technosphere,light_waste_wat_pe,1.0,"wastewater, average",,
Manchette acc mobile,Manchette acc mobile,1.0,OPERA,FR,unit,production,,,Manchette acc mobile,,
Manchette acc mobile,"compressed air production, 1000 kPa gauge, <30kW, average generation",0.00795,ecoinvent-3.10-cutoff,RER,cubic meter,technosphere,mam_air_alu5086,1.0,"compressed air, 1000 kPa gauge",,
Manchette acc mobile,"market for aluminium, primary, ingot",0.10630310000000001,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,technosphere,mam_m_alu5086-mam_eol_alu5086+mam_m_alu-mam_eol_alu,1.0,"aluminium, primary, ingot",,
Manchette acc mobile,"market for carton board box production, with gravure printing",0.00125,ecoinvent-3.10-cutoff,GLO,kilogram,technosphere,mam_m_box_pack,1.0,"carton board box production, with gravure printing",,
Manchette acc mobile,"market for electricity, low voltage",0.010822222222222221,ecoinvent-3.10-cutoff,FR,kilowatt hour,technosphere,mam_elec_alu5086/3.6+mam_elec_alu/3.6+mam_elec_air_alu5086/3.6,1.0,"electricity, low voltage",,
Manchette acc mobile,market for lubricating oil,1.4e-05,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,mam_lub_alu5086,1.0,lubricating oil,,
Manchette acc mobile,"market for transport, freight, lorry 16-32 metric ton, EURO5",0.674,ecoinvent-3.10-cutoff,RER,ton kilometer,technosphere,mam_truck_pack,1.0,"transport, freight, lorry 16-32 metric ton, EURO5",,
Manchette acc mobile,plywood production,0.0112,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,mam_m_ply_pack,1.0,"wood chips, dry, measured as dry mass",,
Manchette acc mobile,"polyurethane production, flexible foam, TDI-based, low density",0.039,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,mam_m_pu_frmc,1.0,"polyurethane, flexible foam",,
Manchette acc mobile,"polyvinylchloride production, suspension polymerisation",0.039,ecoinvent-3.10-cutoff,RER,kilogram,technosphere,mam_m_pvc_cuir,1.0,"polyvinylchloride, suspension polymerised",,
