result_view,end_of_life_variant,indicator,short_label,phase,value,unit,source_sheet,source_row
weighted,recycling,"Resource use, fossils","Resource use, fossils",Livraison,0.00792064,weighted person eq.,Graphes pondéré,63
weighted,landfill,"Human toxicity, cancer - total","Human toxicity, cancer - total",Fin de vie,0.005876694,weighted person eq.,Graphes pondéré,49
weighted,landfill,Climate change,Climate change,Fin de vie,0.003675223,weighted person eq.,Graphes pondéré,46
weighted,landfill,Acidification,Acidification,Livraison,0.003530826,weighted person eq.,Graphes pondéré,45
weighted,recycling,Acidification,Acidification,Livraison,0.003530826,weighted person eq.,Graphes pondéré,57
weighted,landfill,"Ecotoxicity, freshwater - total","Ecotoxicity, freshwater - total",Site assemblage,0.003118628,weighted person eq.,Graphes pondéré,47
weighted,recycling,"Ecotoxicity, freshwater - total","Ecotoxicity, freshwater - total",Site assemblage,0.003118628,weighted person eq.,Graphes pondéré,59
weighted,landfill,"Ecotoxicity, freshwater - total","Ecotoxicity, freshwater - total",Livraison,0.002706219,weighted person eq.,Graphes pondéré,47
weighted,recycling,"Ecotoxicity, freshwater - total","Ecotoxicity, freshwater - total",Livraison,0.002706219,weighted person eq.,Graphes pondéré,59
weighted,landfill,"Ecotoxicity, freshwater - total","Ecotoxicity, freshwater - total",Fin de vie,0.002129265,weighted person eq.,Graphes pondéré,47
weighted,landfill,"Resource use, fossils","Resource use, fossils",Fin de vie,0.001504389,weighted person eq.,Graphes pondéré,51
weighted,landfill,"Eutrophication, freshwater","Eutrophication, freshwater",Livraison,0.000889453,weighted person eq.,Graphes pondéré,48
weighted,recycling,"Eutrophication, freshwater","Eutrophication, freshwater",Livraison,0.000889453,weighted person eq.,Graphes pondéré,60
weighted,landfill,"Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",Livraison,0.000818274,weighted person eq.,Graphes pondéré,50
weighted,recycling,"Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",Livraison,0.000818274,weighted person eq.,Graphes pondéré,62
weighted,landfill,Acidification,Acidification,Site assemblage,0.000641138,weighted person eq.,Graphes pondéré,45
weighted,recycling,Acidification,Acidification,Site assemblage,0.000641138,weighted person eq.,Graphes pondéré,57
weighted,landfill,Acidification,Acidification,Fin de vie,0.00054193,weighted person eq.,Graphes pondéré,45
weighted,landfill,Water use,Water use,Site assemblage,0.000360488,weighted person eq.,Graphes pondéré,53
weighted,recycling,Water use,Water use,Site assemblage,0.000360488,weighted person eq.,Graphes pondéré,65
weighted,landfill,"Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",Site assemblage,0.000319499,weighted person eq.,Graphes pondéré,50
weighted,recycling,"Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",Site assemblage,0.000319499,weighted person eq.,Graphes pondéré,62
weighted,landfill,"Human toxicity, cancer - total","Human toxicity, cancer - total",Livraison,0.00023689,weighted person eq.,Graphes pondéré,49
weighted,recycling,"Human toxicity, cancer - total","Human toxicity, cancer - total",Livraison,0.00023689,weighted person eq.,Graphes pondéré,61
weighted,landfill,"Resource use, mineral and metals","Resource use, mineral and metals",Livraison,0.000191347,weighted person eq.,Graphes pondéré,52
weighted,recycling,"Resource use, mineral and metals","Resource use, mineral and metals",Livraison,0.000191347,weighted person eq.,Graphes pondéré,64
weighted,landfill,"Human toxicity, cancer - total","Human toxicity, cancer - total",Site assemblage,0.0001226,weighted person eq.,Graphes pondéré,49
weighted,recycling,"Human toxicity, cancer - total","Human toxicity, cancer - total",Site assemblage,0.0001226,weighted person eq.,Graphes pondéré,61
weighted,landfill,"Resource use, mineral and metals","Resource use, mineral and metals",Site assemblage,0.000122469,weighted person eq.,Graphes pondéré,52
weighted,recycling,"Resource use, mineral and metals","Resource use, mineral and metals",Site assemblage,0.000122469,weighted person eq.,Graphes pondéré,64
weighted,landfill,"Eutrophication, freshwater","Eutrophication, freshwater",Fin de vie,8.9785e-05,weighted person eq.,Graphes pondéré,48
weighted,landfill,Water use,Water use,Fin de vie,3.0336e-05,weighted person eq.,Graphes pondéré,53
weighted,landfill,"Resource use, mineral and metals","Resource use, mineral and metals",Fin de vie,1.3795e-05,weighted person eq.,Graphes pondéré,52
weighted,landfill,"Eutrophication, freshwater","Eutrophication, freshwater",Site assemblage,1.1554e-05,weighted person eq.,Graphes pondéré,48
weighted,recycling,"Eutrophication, freshwater","Eutrophication, freshwater",Site assemblage,1.1554e-05,weighted person eq.,Graphes pondéré,60
weighted,recycling,"Human toxicity, non-cancer - total","Human toxicity, non-cancer - total",Fin de vie - recyclage,-0.02060709,weighted person eq.,Graphes pondéré,62
weighted,recycling,"Human toxicity, cancer - total","Human toxicity, cancer - total",Fin de vie - recyclage,-0.071866785,weighted person eq.,Graphes pondéré,61
weighted,recycling,Acidification,Acidification,Fin de vie - recyclage,-0.091839756,weighted person eq.,Graphes pondéré,57
weighted,recycling,"Eutrophication, freshwater","Eutrophication, freshwater",Fin de vie - recyclage,-0.222983437,weighted person eq.,Graphes pondéré,60
weighted,recycling,"Resource use, fossils","Resource use, fossils",Fin de vie - recyclage,-0.276534648,weighted person eq.,Graphes pondéré,63
weighted,recycling,Climate change,Climate change,Fin de vie - recyclage,-0.429429749,weighted person eq.,Graphes pondéré,58
weighted,recycling,"Ecotoxicity, freshwater - total","Ecotoxicity, freshwater - total",Fin de vie - recyclage,-0.590122005,weighted person eq.,Graphes pondéré,59
weighted,recycling,Water use,Water use,Fin de vie - recyclage,-1.613336639,weighted person eq.,Graphes pondéré,65
weighted,recycling,"Resource use, mineral and metals","Resource use, mineral and metals",Fin de vie - recyclage,-4.556079212,weighted person eq.,Graphes pondéré,64
