capacity_node::M-1430,capacity_node::M-1810,capacity_node::SDC-1450,case_dir,demand_item::item:268091,demand_item::item:268967,error,factor::capacity_scale,factor::demand_scale,factor::lead_time_scale,factor::production_stock_scale,factor::supplier_stock_scale,factor::transport_cost_scale,is_baseline,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,run_id,status
1.252062,1.050432,0.737525,,1.068996,1.035618,,1.0,1.0,1.165429,1.142081,0.894575,1.01101,False,880134.9184,0.971496,0.002979,0.025525,367.2993,857070.1443,0.76535,16501.5895,1077586.8116,1565.3067,48082.8226,49341.8927,49341.8927,16443.216,3857.0729,1046871.0362,1074376.5674,896940.3029,2997.631,3210.2442,1198.0073,56216.8613,27505.5313,0.0,run_0030,ok
0.838804,1.016416,0.921411,,0.855475,0.844143,,1.0,1.0,1.134367,1.20429,1.133061,0.98954,False,1053819.9286,0.98204,0.00194,0.01602,254.6181,1039139.1563,0.798576,16021.6727,1279668.0575,1264.0909,35258.3656,37914.6229,37914.6229,15168.7852,2913.7321,1256685.119,1277185.987,1063181.8546,2762.2333,2482.0705,1009.4728,42831.6131,20500.868,0.0,run_0031,ok
1.169465,1.133563,0.828894,,0.917984,0.99654,,1.0,1.0,1.056534,1.065769,0.921051,1.139667,False,940617.228,0.971768,0.00263,0.025602,260.7414,919542.6022,0.816886,15451.3197,1153118.6594,1423.9272,45750.1687,46923.8282,46923.8282,16404.6507,3909.7975,1120563.497,1150085.4737,957238.8659,2792.8189,3033.1856,1163.1858,53420.8232,29521.9767,0.0,run_0032,ok
1.08418,1.015927,0.977459,,1.044423,0.917145,,1.0,1.0,1.005953,1.114711,0.729171,0.982213,False,1035316.279,0.979033,0.002299,0.018669,328.6138,1015042.5882,0.774755,10761.4389,1261281.7854,1458.9162,42643.745,42889.1103,42889.1103,14977.2062,3355.5938,1234835.93,1258382.4706,1052715.4793,2826.5511,2899.3148,1130.3024,49748.8297,23546.5406,0.0,run_0033,ok
1.025868,0.863269,0.85146,,1.014004,1.127452,,1.0,1.0,0.831096,1.179955,1.283765,0.895022,False,753218.2196,0.977095,0.002648,0.020257,506.3649,751327.2882,0.682073,18263.2732,918441.108,1592.7079,41648.272,42063.677,42063.677,18976.437,2873.3664,897404.2982,916009.4242,764484.8471,2731.1475,2431.6838,1086.343,42674.7106,18605.126,0.0,run_0034,ok
0.911932,0.836025,1.101055,,1.165116,0.894458,,1.0,1.0,0.975573,1.15545,1.214429,1.244294,False,1116263.483,0.979773,0.001724,0.018503,495.0423,1108079.1363,0.676825,16336.3362,1360234.5443,1531.8082,37786.2865,38289.2439,38289.2439,16221.7754,3209.7083,1332720.959,1357889.6112,1125672.7411,2662.4542,2344.9331,1036.7659,41752.6645,25168.6522,0.0,run_0035,ok
1.234556,1.115444,1.1539,,1.187655,1.143888,,1.0,1.0,1.168168,0.924319,1.110468,1.022549,False,1325979.8984,0.979868,0.002079,0.018053,385.6285,1302333.6078,0.777618,17556.2269,1616047.304,1734.0851,50603.741,52144.4175,52144.4175,20210.0176,4106.026,1583513.0891,1612687.6175,1344662.5671,2818.5924,3359.6865,1348.4566,59070.914,29174.5284,0.0,run_0036,ok
1.115433,0.919146,1.104366,,1.111327,1.143576,,1.0,1.0,0.849786,1.198129,0.982355,1.148555,False,984001.563,0.975872,0.002339,0.021789,456.4891,980004.9857,0.727808,18010.0025,1203126.5171,1677.0841,45552.3921,45983.5225,45983.5225,19979.3417,3754.8146,1174097.4753,1200312.5991,999645.3026,2856.3033,2813.9181,1220.595,46839.6915,26215.1238,0.0,run_0037,ok
0.934381,1.108068,0.902404,,1.118301,0.987845,,1.0,1.0,0.903969,0.949142,1.262171,1.224843,False,856678.2584,0.974438,0.002431,0.023131,370.6812,852638.3416,0.763362,15813.0221,1049323.6885,1566.4461,39907.5392,40321.1504,40321.1504,17597.286,3441.6876,1022500.9672,1046773.106,868234.4492,2543.8843,2550.5826,1195.7648,41264.2066,24272.1388,0.0,run_0038,ok
1.045966,0.96822,1.24175,,1.222799,0.924148,,1.0,1.0,0.848646,1.157357,0.980683,0.952235,False,1092760.0759,0.982663,0.002042,0.015295,446.7481,1085660.148,0.720221,15689.0567,1327763.2775,1596.7918,41852.1424,42241.7747,42241.7747,15622.9347,3179.5751,1304743.5383,1325051.874,1105651.3522,2787.9046,2711.4036,1150.0438,44096.7486,20308.3356,0.0,run_0039,ok
