severity,category,record_index,tier,supplier_index,system,component,supplier_name,location,normalized_location,country,lat,lon,geocode_provider,geocode_query,detail
MEDIUM,TRANSPORT_MODES_EMPTY,71,,,Ens. Palette optimisée,Alu,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,71,,,Ens. Palette optimisée,Alu,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,71,,,Ens. Palette optimisée,Alu,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,72,,,Ensemble porte,Alu,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,72,first_transformation,,Ensemble porte,Alu,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,72,raw_material,,Ensemble porte,Alu,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,72,primary_material,,Ensemble porte,Alu,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,72,,,Ensemble porte,Alu,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,72,,,Ensemble porte,Alu,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,72,,,Ensemble porte,Alu,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,72,,,Ensemble porte,Alu,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,73,,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,73,first_transformation,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,73,raw_material,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,73,primary_material,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,73,,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,73,,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,73,,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,73,,,Ens. Structure fauteuil,A5086 - Aluminium,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,74,,,Manchette acc. Mobile,Alu,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,74,first_transformation,,Manchette acc. Mobile,Alu,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,74,raw_material,,Manchette acc. Mobile,Alu,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,74,primary_material,,Manchette acc. Mobile,Alu,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,74,,,Manchette acc. Mobile,Alu,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,74,,,Manchette acc. Mobile,Alu,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,74,,,Manchette acc. Mobile,Alu,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,74,,,Manchette acc. Mobile,Alu,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,75,,,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,75,first_transformation,,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,75,raw_material,,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,75,primary_material,,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,,,,,,,,primary_material supplier list is empty
LOW,TRANSPORT_MODE_COMBINED_OR_UNNORMALIZED,75,,,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,,,,,,,,from_supplier_to_safran.modes mixes combined route strings with a mode list: Camion - Bateau
MEDIUM,TRANSPORT_MODES_EMPTY,75,,,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,75,,,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,75,,,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,75,,,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,76,,,Ens. Structure fauteuil,acier,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,76,first_transformation,,Ens. Structure fauteuil,acier,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,76,raw_material,,Ens. Structure fauteuil,acier,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,76,primary_material,,Ens. Structure fauteuil,acier,,,,,,,,,primary_material supplier list is empty
LOW,TRANSPORT_MODE_COMBINED_OR_UNNORMALIZED,76,,,Ens. Structure fauteuil,acier,,,,,,,,,from_supplier_to_safran.modes mixes combined route strings with a mode list: Camion - Bateau
MEDIUM,TRANSPORT_MODES_EMPTY,76,,,Ens. Structure fauteuil,acier,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,76,,,Ens. Structure fauteuil,acier,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,76,,,Ens. Structure fauteuil,acier,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,76,,,Ens. Structure fauteuil,acier,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,77,,,SFCU (Seat Function Control Unit),Clavier,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,77,first_transformation,,SFCU (Seat Function Control Unit),Clavier,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,77,raw_material,,SFCU (Seat Function Control Unit),Clavier,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,77,primary_material,,SFCU (Seat Function Control Unit),Clavier,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,77,,,SFCU (Seat Function Control Unit),Clavier,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,77,,,SFCU (Seat Function Control Unit),Clavier,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,77,,,SFCU (Seat Function Control Unit),Clavier,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,77,,,SFCU (Seat Function Control Unit),Clavier,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,78,,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,78,first_transformation,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,78,raw_material,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,78,primary_material,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,78,,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,78,,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,78,,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,78,,,Commande actionnement ECU,Commande actionnement ECU,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,79,,,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,79,first_transformation,,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,79,raw_material,,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,79,primary_material,,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,79,,,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,79,,,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,79,,,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,79,,,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,80,,,Manchette acc. Mobile,cuir,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,80,first_transformation,,Manchette acc. Mobile,cuir,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,80,raw_material,,Manchette acc. Mobile,cuir,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,80,primary_material,,Manchette acc. Mobile,cuir,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,80,,,Manchette acc. Mobile,cuir,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,80,,,Manchette acc. Mobile,cuir,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,80,,,Manchette acc. Mobile,cuir,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,80,,,Manchette acc. Mobile,cuir,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,81,,,Manchette équipée,cuir,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,81,first_transformation,,Manchette équipée,cuir,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,81,raw_material,,Manchette équipée,cuir,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,81,primary_material,,Manchette équipée,cuir,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,81,,,Manchette équipée,cuir,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,81,,,Manchette équipée,cuir,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,81,,,Manchette équipée,cuir,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,81,,,Manchette équipée,cuir,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,82,,,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,82,first_transformation,,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,82,raw_material,,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,82,primary_material,,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,82,,,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,82,,,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,82,,,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,82,,,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,83,,,Accoudoir allée,Ertalon,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,83,first_transformation,,Accoudoir allée,Ertalon,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,83,raw_material,,Accoudoir allée,Ertalon,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,83,primary_material,,Accoudoir allée,Ertalon,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,83,,,Accoudoir allée,Ertalon,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,83,,,Accoudoir allée,Ertalon,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,83,,,Accoudoir allée,Ertalon,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,83,,,Accoudoir allée,Ertalon,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,84,,,Ens. Stowage latéral,Ertalon,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,84,first_transformation,,Ens. Stowage latéral,Ertalon,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,84,raw_material,,Ens. Stowage latéral,Ertalon,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,84,primary_material,,Ens. Stowage latéral,Ertalon,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,84,,,Ens. Stowage latéral,Ertalon,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,84,,,Ens. Stowage latéral,Ertalon,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,84,,,Ens. Stowage latéral,Ertalon,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,84,,,Ens. Stowage latéral,Ertalon,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,85,,,Ens. Structure fauteuil,inox,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,85,first_transformation,,Ens. Structure fauteuil,inox,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,85,raw_material,,Ens. Structure fauteuil,inox,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,85,primary_material,,Ens. Structure fauteuil,inox,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,85,,,Ens. Structure fauteuil,inox,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,85,,,Ens. Structure fauteuil,inox,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,85,,,Ens. Structure fauteuil,inox,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,85,,,Ens. Structure fauteuil,inox,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,86,,,Ensemble porte,Ertalon,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,86,first_transformation,,Ensemble porte,Ertalon,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,86,raw_material,,Ensemble porte,Ertalon,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,86,primary_material,,Ensemble porte,Ertalon,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,86,,,Ensemble porte,Ertalon,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,86,,,Ensemble porte,Ertalon,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,86,,,Ensemble porte,Ertalon,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,86,,,Ensemble porte,Ertalon,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,87,,,Ens. Tablette repas,Ertalon,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,87,first_transformation,,Ens. Tablette repas,Ertalon,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,87,raw_material,,Ens. Tablette repas,Ertalon,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,87,primary_material,,Ens. Tablette repas,Ertalon,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,87,,,Ens. Tablette repas,Ertalon,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,87,,,Ens. Tablette repas,Ertalon,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,87,,,Ens. Tablette repas,Ertalon,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,87,,,Ens. Tablette repas,Ertalon,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,88,,,Stowage assemblé avec porte,Ertalon,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,88,first_transformation,,Stowage assemblé avec porte,Ertalon,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,88,raw_material,,Stowage assemblé avec porte,Ertalon,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,88,primary_material,,Stowage assemblé avec porte,Ertalon,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,88,,,Stowage assemblé avec porte,Ertalon,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,88,,,Stowage assemblé avec porte,Ertalon,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,88,,,Stowage assemblé avec porte,Ertalon,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,88,,,Stowage assemblé avec porte,Ertalon,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,89,,,Structure ottoman horizontale,Ertalon,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,89,first_transformation,,Structure ottoman horizontale,Ertalon,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,89,raw_material,,Structure ottoman horizontale,Ertalon,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,89,primary_material,,Structure ottoman horizontale,Ertalon,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,89,,,Structure ottoman horizontale,Ertalon,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,89,,,Structure ottoman horizontale,Ertalon,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,89,,,Structure ottoman horizontale,Ertalon,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,89,,,Structure ottoman horizontale,Ertalon,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,COMPONENT_IS_NOT_A_MATERIAL_OR_PART,90,,,Brackets set,packaging,,,,,,,,,component is a logistics/package placeholder rather than a material or part
MEDIUM,RAW_MATERIALS_EMPTY,90,,,Brackets set,packaging,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,90,first_transformation,,Brackets set,packaging,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,90,raw_material,,Brackets set,packaging,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,90,primary_material,,Brackets set,packaging,,,,,,,,,primary_material supplier list is empty
LOW,TRANSPORT_MODE_COMBINED_OR_UNNORMALIZED,90,,,Brackets set,packaging,,,,,,,,,from_supplier_to_safran.modes mixes combined route strings with a mode list: Camion - Bateau
MEDIUM,TRANSPORT_MODES_EMPTY,90,,,Brackets set,packaging,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,90,,,Brackets set,packaging,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,90,,,Brackets set,packaging,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,90,,,Brackets set,packaging,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,91,,,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,91,first_transformation,,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,91,raw_material,,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,91,primary_material,,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,91,,,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,91,,,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,91,,,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,91,,,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,92,,,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,92,first_transformation,,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,92,raw_material,,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,92,primary_material,,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,92,,,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,92,,,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,92,,,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,92,,,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,93,,,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,93,first_transformation,,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,93,raw_material,,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,93,primary_material,,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,93,,,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,93,,,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,mine_to_refinery.modes is empty or missing
HIGH,MASS_INVALID,93,,,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,93,,,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,94,,,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,raw_materials list is empty
MEDIUM,MISSING_SUPPLIER_TIER,94,first_transformation,,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,first_transformation supplier list is empty
MEDIUM,MISSING_SUPPLIER_TIER,94,raw_material,,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,raw_material supplier list is empty
LOW,MISSING_SUPPLIER_TIER,94,primary_material,,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,primary_material supplier list is empty
MEDIUM,TRANSPORT_MODES_EMPTY,94,,,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,to_first_transformation.modes is empty or missing
MEDIUM,TRANSPORT_MODES_EMPTY,94,,,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,,,,,,,,,mine_to_refinery.modes is empty or missing
