snapshot_dt,day,sim_day,real_value_eur,day_sim,physical_stock_value_eur,mrp_target_excess_eur,physical_minus_future_need_7d_eur,useful_for_future_need_7d_eur,physical_minus_future_need_14d_eur,useful_for_future_need_14d_eur,physical_minus_future_need_21d_eur,useful_for_future_need_21d_eur,physical_minus_future_need_30d_eur,useful_for_future_need_30d_eur,physical_minus_future_need_45d_eur,useful_for_future_need_45d_eur,physical_minus_future_need_60d_eur,useful_for_future_need_60d_eur,physical_minus_future_need_90d_eur,useful_for_future_need_90d_eur,physical_minus_future_need_120d_eur,useful_for_future_need_120d_eur,physical_minus_future_need_180d_eur,useful_for_future_need_180d_eur,physical_minus_future_need_270d_eur,useful_for_future_need_270d_eur,physical_minus_future_need_365d_eur,useful_for_future_need_365d_eur,physical_minus_future_need_540d_eur,useful_for_future_need_540d_eur,physical_minus_future_need_730d_eur,useful_for_future_need_730d_eur,physical_minus_future_need_lead_only_eur,useful_for_future_need_lead_only_eur,physical_minus_future_need_safety_only_eur,useful_for_future_need_safety_only_eur,physical_minus_future_need_lead_plus_safety_eur,useful_for_future_need_lead_plus_safety_eur
2025-05-26 00:06:36,145,144,964313.13,144,1149107.8426013151,1084771.0059410715,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1149107.8426013151,0.0,1007615.1902405149,141492.65236079998,989308.746700515,159799.0959008,905106.294233085,244001.54836823,881064.169833085,268043.67276822997,844481.423926915,304626.41867439996,805931.9841436851,343175.85845763,1142584.8996293151,6522.942971999999,1149107.8426013151,0.0,1139351.358507315,9756.484093999994
2025-06-02 00:06:28,152,151,913515.99,151,1175477.8426013151,1111759.247992695,1175477.8426013151,0.0,1175477.8426013151,0.0,1175477.8426013151,0.0,1175477.8426013151,0.0,1175477.8426013151,0.0,1175477.8426013151,0.0,1147981.294774115,27496.547827199996,1033985.1902405149,141492.65236079998,1009140.731150515,166337.11145079997,928771.314850515,246706.52775079999,907434.169833085,268043.67276822997,869863.906083165,305613.93651815,831414.827268915,344063.0153324,1168624.791179315,6853.051421999998,1175477.8426013151,0.0,1164993.350975315,10484.491625999994
2025-06-09 00:06:41,159,158,901349.11,158,1201847.8426013151,1138133.955171775,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1139980.609990115,61867.2326112,1060355.190240515,141492.65236079998,1032895.524930515,168952.3176708,953939.208630515,247908.6339708,933804.169833085,268043.67276822997,894123.464533165,307724.37806814996,856897.9541936851,344949.88840763,1193589.619089315,8258.223511999999,1201847.8426013151,0.0,1187559.311119315,14288.531481999988
2025-06-16 00:06:31,166,165,1030088.41,165,1201847.8426013151,1137017.2460860235,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1112484.062162915,89363.78043839999,1060355.190240515,141492.65236079998,1022434.7000505151,179413.1425508,952136.0493005151,249711.79330079997,933804.169833085,268043.67276822997,894123.464533165,307724.37806814996,855655.9913289151,346191.85127239994,1192971.647707315,8876.194893999998,1201847.8426013151,0.0,1174395.764031315,27452.078569999983
2025-06-23 13:27:48,173,172,1018792.36,172,1201847.8426013151,1137473.306519775,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1064365.103465315,137482.739136,1060355.190240515,141492.65236079998,1011973.875170515,189873.96743079997,951835.763133085,250012.07946823,930798.904283085,271048.93831823,890113.4567865151,311734.3858147999,855655.9913289151,346191.85127239994,1182052.372517315,19795.470083999997,1201847.8426013151,0.0,1166036.235731315,35811.60686999999
2025-06-30 00:06:46,180,179,1056984.52,179,1201847.8426013151,1138007.638838215,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1188099.5686877149,13748.273913599998,1060355.190240515,141492.65236079998,1055020.169551715,146827.67304959998,1009358.668950515,192489.1736508,951835.763133085,250012.07946823,927793.638733085,274054.20386823,889902.581433165,311945.26116814994,855123.924243685,346723.91835762997,1172636.795181315,29211.04741999999,1201847.8426013151,0.0,1153108.173109315,48739.66949199998
2025-07-07 00:08:05,187,186,955981.86,186,1201847.8426013151,1138313.237179575,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1153728.883903715,48118.9586976,1060355.190240515,141492.65236079998,1047279.159140515,154568.6834608,1002820.6534005151,199027.18920079997,951835.763133085,250012.07946823,927793.638733085,274054.20386823,888003.0152365151,313844.8273648,853349.8942936851,348497.94830762997,1162126.315707315,39721.52689399999,1201847.8426013151,0.0,1136997.0262201151,64850.81638119999
2025-07-14 00:08:02,194,193,943812.41,193,1201847.8426013151,1138285.146162535,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1194973.705644515,6874.136956799999,1119358.199119715,82489.6434816,1060355.190240515,141492.65236079998,1045971.556030515,155876.28657079997,991052.225410515,210795.6171908,951835.763133085,250012.07946823,924788.373183085,277059.46941822994,887792.139883165,314055.7027181499,853349.8942936851,348497.94830762997,1147426.313030115,54421.52957119999,1201847.8426013151,0.0,1114376.190685715,87471.65191559998
2025-07-21 00:06:34,201,200,979933.29,200,1201847.8426013151,1138405.8727582751,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1153728.883903715,48118.9586976,1078113.377378915,123734.46522239999,1060355.190240515,141492.65236079998,1044663.9529205151,157183.8896808,985821.812970515,216026.02963079998,946798.697683715,255049.1449176,924295.2692453151,277552.57335599995,887792.139883165,314055.7027181499,853349.8942936851,348497.94830762997,1127595.899071715,74251.94352959999,1200897.130265315,950.7123359999995,1095542.100056115,106305.74254519999
2025-07-28 00:07:35,208,207,927498.18,207,1201847.8426013151,1139017.997966475,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1201847.8426013151,0.0,1126232.336076515,75615.5065248,1060355.190240515,141492.65236079998,1057739.984020515,144107.85858079998,1038125.937370515,163721.90523079998,980591.400530515,221256.44207079997,945825.232033085,256022.61056822998,919679.1813605151,282168.6612408,886280.8949317151,315566.94766959996,848559.8715289151,353287.9710724,1109188.512412115,92659.33018919999,1199312.609705315,2535.2328960000004,1069648.7870813152,132199.05551999997
