output_dir,case_dir,size_bytes,size_mb,file_count,keep,sim_days,fill_rate,ending_backlog,total_cost,total_produced,lot_count,archive_destination,action
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_0_05\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_0_05,47456503,45.258,20,False,1825,1.0,0,61493505.1131,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_0_1\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_0_1,47411783,45.215,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_0_25\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_0_25,47415438,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_0_5\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_0_5,47415440,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_0_75\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_0_75,47415444,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_1_0\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520115A_1_0,47415441,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_0_01\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_0_01,47401080,45.205,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_0_05\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_0_05,47408112,45.212,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_0_1\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_0_1,47415410,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_0_25\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_0_25,47408117,45.212,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_0_5\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_0_5,47408126,45.212,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_0_75\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_0_75,47408130,45.212,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_1_0\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0520132A_1_0,47415441,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_0_01\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_0_01,47458170,45.26,20,False,1825,1.0,0,61443137.9874,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_0_05\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_0_05,47411771,45.215,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_0_1\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_0_1,47411770,45.215,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_0_25\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_0_25,47415430,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_0_5\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_0_5,47415432,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_0_75\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_0_75,47415443,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_1_0\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0525412A_1_0,47415441,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_0_01\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_0_01,47408208,45.212,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_0_05\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_0_05,47411869,45.215,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_0_1\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_0_1,47411898,45.216,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_0_25\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_0_25,47411879,45.215,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_0_5\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_0_5,47415568,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_0_75\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_0_75,47415574,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_1_0\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0901566A_1_0,47415441,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_0_01\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_0_01,47413200,45.217,20,False,1825,1.0,0,61416348.018,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_0_05\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_0_05,47420410,45.224,20,False,1825,1.0,0,61416347.7721,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_0_1\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_0_1,47393849,45.198,20,False,1825,1.0,0,61416153.9895,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_0_25\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_0_25,47411776,45.215,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_0_5\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_0_5,47411788,45.215,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_0_75\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_0_75,47415444,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_1_0\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0910216A_1_0,47415441,45.219,20,False,1825,1.0,0,61416154.1416,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0914320A_0_01\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0914320A_0_01,47430011,45.233,20,False,1825,1.0,0,61416197.54,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0914320A_0_05\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0914320A_0_05,47447943,45.25,20,False,1825,1.0,0,61416197.4554,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0914320A_0_1\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0914320A_0_1,47448049,45.25,20,False,1825,1.0,0,61416197.1609,106327600.0,,,deleted
etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0914320A_0_25\simulation_output,etudecas\simulation\sensibility\active_supplier_parameter_result\cases\supplier_capacity_node_SDC-VD0914320A_0_25,47451672,45.253,20,False,1825,1.0,0,61416196.4188,106327600.0,,,deleted
