record_index,system,component,mass_kg_before,mass_kg_after,mass_status,method,confidence,equipment_match,material_match,source
150,Habillage sous fauteuil,velours,0.092,0.007,estimated,bom_exact_system_material,high,HABILLAGE SOUS FAUTEUIL,velour,C:/dev/lca-simu/data/quantity_material.xlsx
151,Ens. Structure porte,Z10CNT18,0.867,0.0478353,estimated,bom_system_material_family_sum,medium_high,ENSEMBLE PORTE,steel (2 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,,0.039,estimated,bom_exact_system_material,high,MANCHETTE EQUIPEE,frmc55,C:/dev/lca-simu/data/quantity_material.xlsx
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",,0.45,estimated,bom_exact_system_material,high,SUPPORT ECRAN,screen display cots,C:/dev/lca-simu/data/quantity_material.xlsx
154,bumper version porte,de: aluminium cast part machining glo: steel sheet stamping and bending,,0.024,estimated,bom_exact_system_material,high,BUMPER VERSION PORTE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
155,accoudoir allee,de: aluminium cast part machining glo: steel sheet stamping and bending,,0.7096766,estimated,bom_exact_system_material,high,ACCOUDOIR ALLEE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
156,Accoudoir allée,GLO: Steel sheet stamping and bending,,0.7096766,estimated,bom_exact_system_material,high,ACCOUDOIR ALLEE,acier,C:/dev/lca-simu/data/quantity_material.xlsx
157,Siége,aluminium,,71.7790748,estimated,bom_global_material_family_sum,low,seat_total,aluminium (7 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
158,Siége,"Tissu, mousse, polyéthylène",,6.478,estimated,bom_global_material_family_sum,low,seat_total,textile_foam_polyethylene (5 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
159,Siége,Moulage plastique,,6.69155662,estimated,bom_global_material_family_sum,low,seat_total,plastic (10 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
160,Siége,"autre (silicium, cuirs synthétique)",,0.099,estimated,bom_global_material_total,medium_low,seat_total,ultra leather 330,C:/dev/lca-simu/data/quantity_material.xlsx
161,Siége,65% aluminium,,75.378147576,estimated,percentage_of_bom_material_total,medium,SEAT_TOTAL,65% of total non-packaging BOM mass,C:/dev/lca-simu/data/quantity_material.xlsx
162,Siége,"16 % Tissu, mousse, polyéthylène",,18.554620942,estimated,percentage_of_bom_material_total,medium,SEAT_TOTAL,16% of total non-packaging BOM mass,C:/dev/lca-simu/data/quantity_material.xlsx
163,Siége,11% Moulage plastique,,12.756301898,estimated,percentage_of_bom_material_total,medium,SEAT_TOTAL,11% of total non-packaging BOM mass,C:/dev/lca-simu/data/quantity_material.xlsx
164,Siége,"8% autre (silicium, cuirs synthétique)",,9.277310471,estimated,percentage_of_bom_material_total,medium,SEAT_TOTAL,8% of total non-packaging BOM mass,C:/dev/lca-simu/data/quantity_material.xlsx
165,Siége,"16 % Tissu, mousse",,18.554620942,estimated,percentage_of_bom_material_total,medium,SEAT_TOTAL,16% of total non-packaging BOM mass,C:/dev/lca-simu/data/quantity_material.xlsx
166,siege,titane fibre de carbone,,8.927,estimated,bom_global_material_family_sum,low,seat_total,composite (2 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
167,Accoudoir allée,A2024 - Aluminium,,0.18,estimated,bom_exact_system_material,high,ACCOUDOIR ALLEE,a2024,C:/dev/lca-simu/data/quantity_material.xlsx
168,Siége,"Tissu, mousse, polyéthylène",,6.478,estimated,bom_global_material_family_sum,low,seat_total,textile_foam_polyethylene (5 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
169,Siége,"Tissu, mousse, polyéthylène",,6.478,estimated,bom_global_material_family_sum,low,seat_total,textile_foam_polyethylene (5 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
170,Siége,"autre (silicium, cuirs synthétique)",,0.099,estimated,bom_global_material_total,medium_low,seat_total,ultra leather 330,C:/dev/lca-simu/data/quantity_material.xlsx
171,Siége,"autre (silicium, cuirs synthétique)",,0.099,estimated,bom_global_material_total,medium_low,seat_total,ultra leather 330,C:/dev/lca-simu/data/quantity_material.xlsx
172,Siége,Moulage plastique,,6.69155662,estimated,bom_global_material_family_sum,low,seat_total,plastic (10 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
173,Siége,Moulage plastique,,6.69155662,estimated,bom_global_material_family_sum,low,seat_total,plastic (10 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
174,Siége,aluminium,,71.7790748,estimated,bom_global_material_family_sum,low,seat_total,aluminium (7 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
175,Siége,aluminium,,71.7790748,estimated,bom_global_material_family_sum,low,seat_total,aluminium (7 BOM material rows),C:/dev/lca-simu/data/quantity_material.xlsx
