capacity_node_scale_json,case_input,case_output_dir,category,demand_item_scale_json,description,error,factors_json,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,mutators_json,policy::review_period_days,policy::safety_stock_days,scenario_id,status
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_wave_extreme/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_wave_extreme/simulation_output,profile_shock,{},Extreme oscillating demand wave.,,{},23605.6991,0.776857,0.096799,0.126343,432.6383,18379.4062,0.757218,33827.2603,28912.7994,1782.0,47693.0453,48422.2344,48422.2344,16849.4486,3675.9334,22461.1188,26114.0555,29870.366,1341.3617,2798.744,1349.3617,52312.1557,3652.9366,0.0,"[""wave_profile""]",1.0,7.0,demand_wave_extreme,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_drop_recovery_50/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_drop_recovery_50/simulation_output,profile_shock,{},Demand drops to 50% then recovers.,,{},28473.7228,0.846244,0.064788,0.088968,0.0,19065.0541,1.0,23167.6858,32306.3012,1100.0,37486.5469,37946.6269,37946.6269,6230.3951,2777.3726,27338.9994,30213.2397,29870.366,1100.0,2093.0615,1100.0,41257.4103,2874.2403,0.0,"[""drop_recovery_x0_5""]",1.0,7.0,demand_drop_recovery_50,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/demand_drop_recovery_30/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/demand_drop_recovery_30/simulation_output,profile_shock,{},Demand drops to 30% then recovers.,,{},31711.8953,0.873201,0.052664,0.074135,11.9997,23772.8451,0.987374,19031.3457,34985.5022,950.4,35432.3321,35490.3561,35490.3561,5500.692,2510.2695,30549.3809,33143.024,29870.366,950.4,1842.4782,938.4003,35747.1625,2593.6431,0.0,"[""drop_recovery_x0_3""]",1.0,7.0,demand_drop_recovery_30,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/combo_supplier_crunch/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/combo_supplier_crunch/simulation_output,combined_stress,{},Longer lead times + lower reliability + lower supplier stock.,,"{""lead_time_scale"": 1.5, ""supplier_reliability_scale"": 0.8, ""supplier_stock_scale"": 0.7, ""review_period_scale"": 4.0}",35065.6391,0.915747,0.036896,0.047356,873.5598,21991.787,0.417627,12284.4785,38409.4371,1500.0,23205.8174,26931.3772,26931.3772,53431.087,1976.1046,35173.343,36992.266,48539.3447,1064.6439,1417.171,626.4402,22305.6039,1818.9231,5576.401,[],4.0,7.0,combo_supplier_crunch,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/combo_demand_boom/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/combo_demand_boom/simulation_output,combined_stress,"{""item:268091"": 1.4, ""item:268967"": 1.4}",High global demand + item spikes + profile spike.,,"{""demand_scale"": 1.25}",21819.1112,0.740521,0.112109,0.14737,1100.4,14327.9037,0.582137,40238.7717,28239.2051,2633.4,51399.8026,56469.5564,56469.5564,22259.9154,4228.6914,20911.7138,25073.3254,29870.366,1500.0,3165.8797,1533.0,58033.1003,4161.6116,0.0,"[""sync_spike_x1_6""]",1.0,7.0,combo_demand_boom,ok
"{""M-1430"": 0.65, ""M-1810"": 0.65}",etudecas/simulation/sensibility/shock_campaign_result/cases/combo_dual_plant_outage/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/combo_dual_plant_outage/simulation_output,combined_stress,{},Simultaneous production outages on both plants.,,{},15473.7823,0.748007,0.104832,0.147161,393.25,8128.1727,0.737833,22251.9269,18182.3037,1500.0,32818.5067,36078.21,36078.21,14359.09,2610.4673,13600.4899,16276.2085,19415.7379,975.0,1906.0952,1106.75,37566.3402,2675.7186,0.0,[],1.0,7.0,combo_dual_plant_outage,ok
{},etudecas/simulation/sensibility/shock_campaign_result/cases/combo_logistics_strike/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/combo_logistics_strike/simulation_output,combined_stress,{},Lead/transport shock with slower review period.,,"{""lead_time_scale"": 1.6, ""transport_cost_scale"": 1.6, ""review_period_scale"": 7.0}",51747.1517,0.950217,0.015738,0.034045,778.34,40055.8833,0.481107,7339.4219,53735.1567,1500.0,11819.6248,15519.4607,15519.4607,28458.407,1447.4038,51060.0754,52889.4739,57985.8341,799.3632,845.6828,721.66,15638.4374,1829.3985,0.0,[],7.0,7.0,combo_logistics_strike,ok
"{""M-1430"": 0.8, ""M-1810"": 0.8}",etudecas/simulation/sensibility/shock_campaign_result/cases/combo_systemic_stress/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/combo_systemic_stress/simulation_output,combined_stress,"{""item:268091"": 1.3, ""item:268967"": 1.3}","Full systemic stress: demand up, delays up, reliability down, capacities down.",,"{""demand_scale"": 1.3, ""lead_time_scale"": 1.5, ""supplier_reliability_scale"": 0.78, ""supplier_stock_scale"": 0.75, ""review_period_scale"": 4.0}",22540.6229,0.89141,0.048244,0.060347,2333.104,3889.6994,0.223371,9036.0337,24839.0344,3004.144,18777.8667,21854.3467,21854.3467,93305.3632,1599.4384,22141.7549,23640.7104,38831.4758,1198.0,1198.324,671.04,18598.1423,1498.9555,5245.6299,"[""wave_profile""]",4.0,7.0,combo_systemic_stress,ok
"{""M-1430"": 0.7, ""M-1810"": 0.7}",etudecas/simulation/sensibility/shock_campaign_result/cases/combo_extreme_black_swan/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/combo_extreme_black_swan/simulation_output,combined_stress,"{""item:268091"": 1.5, ""item:268967"": 1.5}",Extreme black-swan stress combining severe shocks.,,"{""demand_scale"": 1.4, ""lead_time_scale"": 1.6, ""supplier_reliability_scale"": 0.75, ""supplier_stock_scale"": 0.6, ""production_stock_scale"": 0.7, ""capacity_scale"": 0.75, ""review_period_scale"": 7.0}",20473.2225,0.948258,0.023474,0.028268,3281.3953,5984.2183,0.112177,3911.7778,21225.5275,3696.0,6441.106,8394.1773,8394.1773,50009.3743,599.8599,20127.267,20727.2794,30383.7629,787.5,498.248,414.6047,7582.1866,600.0124,2527.3955,"[""sync_spike_x2_0""]",7.0,7.0,combo_extreme_black_swan,ok
"{""M-1430"": 1.2, ""M-1810"": 1.2}",etudecas/simulation/sensibility/shock_campaign_result/cases/combo_resilience_max/input_case.json,etudecas/simulation/sensibility/shock_campaign_result/cases/combo_resilience_max/simulation_output,combined_mitigation,{},Aggressive resilience policy for stress resistance.,,"{""safety_stock_days_scale"": 2.5, ""supplier_stock_scale"": 1.5, ""production_stock_scale"": 1.3, ""capacity_scale"": 1.2, ""review_period_scale"": 1.0, ""supplier_reliability_scale"": 1.0}",46274.9461,0.858218,0.058542,0.083241,0.0,45008.7317,1.0,46463.2697,51029.445,1500.0,55657.0852,56435.5638,56435.5638,7619.5204,4071.7397,43794.3651,48042.0895,48182.0664,1498.7604,2987.3555,1500.0,60750.1306,4247.7244,0.0,[],1.0,17.5,combo_resilience_max,ok
