record_index,action,detail
154,exclude_common_sense_incompatible_secondaries,Removed 1 impossible secondary supplier candidate(s) for family steel using common-sense material/role filter. Examples: tier4_raw_material:Alcoa (non-steel raw material supplier cannot be steel T4)
155,exclude_common_sense_incompatible_secondaries,Removed 1 impossible secondary supplier candidate(s) for family steel using common-sense material/role filter. Examples: tier4_raw_material:Alcoa (non-steel raw material supplier cannot be steel T4)
160,exclude_common_sense_incompatible_secondaries,Removed 6 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier3_first_transformation:Aurubis (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier4_raw_material:Zijin Mining Group (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Ampco Metal France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier2_second_transformation:Auberon Technologies (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
164,exclude_common_sense_incompatible_secondaries,Removed 6 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier3_first_transformation:Aurubis (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier4_raw_material:Zijin Mining Group (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Ampco Metal France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier2_second_transformation:Auberon Technologies (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
165,exclude_common_sense_incompatible_secondaries,Removed 6 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier3_first_transformation:Aurubis (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier4_raw_material:Zijin Mining Group (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Ampco Metal France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier2_second_transformation:Auberon Technologies (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
170,exclude_common_sense_incompatible_secondaries,Removed 6 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier3_first_transformation:Aurubis (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier4_raw_material:Zijin Mining Group (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Ampco Metal France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier2_second_transformation:Auberon Technologies (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
171,exclude_common_sense_incompatible_secondaries,Removed 6 impossible secondary supplier candidate(s) for family textile_leather using common-sense material/role filter. Examples: tier3_first_transformation:Aurubis (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier4_raw_material:Zijin Mining Group (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:Ampco Metal France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier3_first_transformation:thyssenkrupp Materials France (metal/mining supplier cannot be a textile/leather/foam upstream option) | tier2_second_transformation:Auberon Technologies (electronics/process instrumentation supplier cannot be textile/leather/foam T2)
1,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
2,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
3,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
4,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
5,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
6,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
7,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
8,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
9,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
10,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
11,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
12,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
13,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
14,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
15,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
16,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
17,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
18,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
19,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
20,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
21,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
22,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
23,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
24,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
25,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
26,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
27,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
28,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
29,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
30,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
31,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
32,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
33,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
34,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
35,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
36,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
37,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
38,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
39,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
40,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
41,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
42,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
43,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
44,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
45,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
46,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
47,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
48,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
49,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
50,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
51,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
52,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
53,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
54,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
55,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
56,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
57,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
58,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
59,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
60,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
61,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
62,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
63,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
64,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
65,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
66,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
67,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
68,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
69,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
70,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
71,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
72,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
73,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
74,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
75,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
76,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
77,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
78,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
79,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
80,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
81,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
82,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
83,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
84,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
85,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
86,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
87,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
88,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
89,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
90,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
91,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
92,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
93,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
94,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
95,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
96,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
97,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
98,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
99,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
100,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
101,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
102,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
103,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
104,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
105,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
106,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
107,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
108,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
109,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
110,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
111,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
112,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
113,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
114,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
115,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
116,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
117,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
118,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
119,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
120,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
121,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
122,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
123,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
124,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
125,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
126,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
128,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
129,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
130,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
131,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
132,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
133,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
134,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
135,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
136,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
137,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
138,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
139,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
140,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
141,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
142,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
143,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
144,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
145,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
146,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
147,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
148,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
149,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
150,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
151,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
152,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
153,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
154,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
155,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
158,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
159,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
160,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
161,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
162,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
163,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
164,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
165,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
166,add_primary_lane_transport_scenarios,added 3 primary edge transport scenarios
167,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
168,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
169,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
170,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
171,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
172,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
173,add_primary_lane_transport_scenarios,added 4 primary edge transport scenarios
