record_index,system,component,family,mass_kg,source_mass_kg,fallback_path_count,best_fallback_class,fallback_class_counts,scenario_type,scenario_id,disrupted_role,disrupted_supplier,disrupted_edge,from_name,to_name,disrupted_mode
81,Ens. Structure fauteuil,inox,steel,0.045,0.045,0,no_topology_fallback,,supplier_disruption,supplier::T2::Senior Aerospace Thailand - internal machining/forming process,T2,Senior Aerospace Thailand - internal machining/forming process,,,,
94,Accoudoir allée,inox,steel,0.018054,0.018054,0,no_topology_fallback,,supplier_disruption,supplier::T2::Senior Aerospace Thailand - internal machining/forming process,T2,Senior Aerospace Thailand - internal machining/forming process,,,,
95,Ens. Palette optimisée,inox,steel,0.023743,0.023743,0,no_topology_fallback,,supplier_disruption,supplier::T2::Senior Aerospace Thailand - internal machining/forming process,T2,Senior Aerospace Thailand - internal machining/forming process,,,,
96,Ensemble porte,inox,steel,0.004759,0.0047592,0,no_topology_fallback,,supplier_disruption,supplier::T2::Senior Aerospace Thailand - internal machining/forming process,T2,Senior Aerospace Thailand - internal machining/forming process,,,,
98,Ens. Tablette cocktail,inox,steel,0.012,0.012,0,no_topology_fallback,,supplier_disruption,supplier::T2::Senior Aerospace Thailand - internal machining/forming process,T2,Senior Aerospace Thailand - internal machining/forming process,,,,
99,Ens. Tablette repas,inox,steel,0.014,0.014,0,no_topology_fallback,,supplier_disruption,supplier::T2::Senior Aerospace Thailand - internal machining/forming process,T2,Senior Aerospace Thailand - internal machining/forming process,,,,
100,Ens. Têtière,inox,steel,0.001,0.001,0,no_topology_fallback,,supplier_disruption,supplier::T2::Senior Aerospace Thailand - internal machining/forming process,T2,Senior Aerospace Thailand - internal machining/forming process,,,,
101,Stowage assemblé avec porte,inox,steel,0.00928,0.00928,0,no_topology_fallback,,supplier_disruption,supplier::T2::Senior Aerospace Thailand - internal machining/forming process,T2,Senior Aerospace Thailand - internal machining/forming process,,,,
102,Support écran,inox,steel,0.014,0.014,0,no_topology_fallback,,supplier_disruption,supplier::T2::Senior Aerospace Thailand - internal machining/forming process,T2,Senior Aerospace Thailand - internal machining/forming process,,,,
138,Ens. Structure fixe,inox,steel,0.027,0.027,0,no_topology_fallback,,supplier_disruption,supplier::T2::Senior Aerospace Thailand - internal machining/forming process,T2,Senior Aerospace Thailand - internal machining/forming process,,,,
33,Ens. Structure fauteuil,4140 (acier),steel,0.002,0.002,48,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=48,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,1.417,1.417,3,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=3,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
54,Ens. Structure fauteuil,A2017 - Aluminium,aluminium,12.7611,12.7611,135,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=135,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
55,Ens. Structure fauteuil,A2024 - Aluminium,aluminium,5.659,5.659,120,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=120,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
81,Ens. Structure fauteuil,inox,steel,0.045,0.045,180,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=180,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
94,Accoudoir allée,inox,steel,0.018054,0.018054,180,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=180,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
95,Ens. Palette optimisée,inox,steel,0.023743,0.023743,180,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=180,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
96,Ensemble porte,inox,steel,0.004759,0.0047592,180,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=180,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
97,Ens. Structure fauteuil,GLO: moulage par injection plastique,polymer_plastic,0.081,0.081,72,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=72,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
98,Ens. Tablette cocktail,inox,steel,0.012,0.012,180,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=180,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
99,Ens. Tablette repas,inox,steel,0.014,0.014,180,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=180,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
100,Ens. Têtière,inox,steel,0.001,0.001,180,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=180,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
101,Stowage assemblé avec porte,inox,steel,0.00928,0.00928,180,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=180,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
102,Support écran,inox,steel,0.014,0.014,180,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=180,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
138,Ens. Structure fixe,inox,steel,0.027,0.027,180,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=180,supplier_disruption,supplier::T1::Senior Aerospace Thailand,T1,Senior Aerospace Thailand,,,,
44,Renfort tubulaire,A6060 - Aluminium,aluminium,0.404,0.404,0,no_topology_fallback,,supplier_disruption,supplier::T2::Groupe Segnere / SEGNERE Ade - internal machining/forming process,T2,Groupe Segnere / SEGNERE Ade - internal machining/forming process,,,,
44,Renfort tubulaire,A6060 - Aluminium,aluminium,0.404,0.404,45,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=45,supplier_disruption,supplier::T1::Groupe Segnere / SEGNERE Ade,T1,Groupe Segnere / SEGNERE Ade,,,,
50,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,steel,0.496,0.496,0,no_topology_fallback,,supplier_disruption,supplier::T4::ArcelorMittal,T4,ArcelorMittal,,,,
154,bumper version porte,de: aluminium cast part machining glo: steel sheet stamping and bending,steel,0.024,0.024,0,no_topology_fallback,,supplier_disruption,supplier::T4::ArcelorMittal,T4,ArcelorMittal,,,,
155,accoudoir allee,de: aluminium cast part machining glo: steel sheet stamping and bending,steel,0.709677,0.7096766,0,no_topology_fallback,,supplier_disruption,supplier::T4::ArcelorMittal,T4,ArcelorMittal,,,,
50,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,steel,0.496,0.496,5,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=4;candidate_requires_material_certificate=1,supplier_disruption,supplier::T3::thyssenkrupp Materials France,T3,thyssenkrupp Materials France,,,,
154,bumper version porte,de: aluminium cast part machining glo: steel sheet stamping and bending,steel,0.024,0.024,4,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=3;candidate_requires_material_certificate=1,supplier_disruption,supplier::T3::thyssenkrupp Materials France,T3,thyssenkrupp Materials France,,,,
155,accoudoir allee,de: aluminium cast part machining glo: steel sheet stamping and bending,steel,0.709677,0.7096766,4,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=3;candidate_requires_material_certificate=1,supplier_disruption,supplier::T3::thyssenkrupp Materials France,T3,thyssenkrupp Materials France,,,,
66,Accoudoir allée,Alu,aluminium,3.043507,3.0435071,54,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=45;candidate_requires_allocation_and_qualification=9,supplier_disruption,supplier::T4::Aluminium Corporation of China / Chalco,T4,Aluminium Corporation of China / Chalco,,,,
67,Ens. Palette optimisée,Alu,aluminium,12.547571,12.5475707,54,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=45;candidate_requires_allocation_and_qualification=9,supplier_disruption,supplier::T4::Aluminium Corporation of China / Chalco,T4,Aluminium Corporation of China / Chalco,,,,
68,Ensemble porte,Alu,aluminium,6.872,6.872,54,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=45;candidate_requires_allocation_and_qualification=9,supplier_disruption,supplier::T4::Aluminium Corporation of China / Chalco,T4,Aluminium Corporation of China / Chalco,,,,
70,Manchette acc. Mobile,Alu,aluminium,0.106,0.106,54,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=45;candidate_requires_allocation_and_qualification=9,supplier_disruption,supplier::T4::Aluminium Corporation of China / Chalco,T4,Aluminium Corporation of China / Chalco,,,,
123,Ens. Structure fixe,Alu,aluminium,3.541012,3.5410117,54,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=45;candidate_requires_allocation_and_qualification=9,supplier_disruption,supplier::T4::Aluminium Corporation of China / Chalco,T4,Aluminium Corporation of China / Chalco,,,,
161,Siége,65% aluminium,aluminium,0.0,75.378147576,36,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=27;candidate_requires_allocation_and_qualification=9,supplier_disruption,supplier::T4::Aluminium Corporation of China / Chalco,T4,Aluminium Corporation of China / Chalco,,,,
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,general,3.365,3.365,60,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=40;candidate_requires_material_certificate=16;candidate_requires_allocation_and_qualification=4,supplier_disruption,supplier::T4::TE Connectivity - COTS electronics component market basket,T4,TE Connectivity - COTS electronics component market basket,,,,
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,general,3.365,3.365,54,candidate_requires_allocation_and_qualification,candidate_requires_t1_t2_pairing=36;candidate_requires_material_certificate=12;candidate_requires_allocation_and_qualification=6,supplier_disruption,supplier::T3::TE Connectivity - COTS electronics subassembly/PCB package,T3,TE Connectivity - COTS electronics subassembly/PCB package,,,,
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,general,3.365,3.365,0,no_topology_fallback,,supplier_disruption,supplier::T2::TE Connectivity - electronics routing/EMS package,T2,TE Connectivity - electronics routing/EMS package,,,,
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,general,3.365,3.365,48,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=48,supplier_disruption,supplier::T1::TE Connectivity,T1,TE Connectivity,,,,
74,Commande actionnement ECU,Commande actionnement ECU,electronics_cots,0.75,0.75,0,no_topology_fallback,,supplier_disruption,supplier::T4::Liebherr Aerospace - COTS electronics component market basket,T4,Liebherr Aerospace - COTS electronics component market basket,,,,
74,Commande actionnement ECU,Commande actionnement ECU,electronics_cots,0.75,0.75,0,no_topology_fallback,,supplier_disruption,supplier::T3::Liebherr Aerospace - COTS electronics subassembly/PCB package,T3,Liebherr Aerospace - COTS electronics subassembly/PCB package,,,,
74,Commande actionnement ECU,Commande actionnement ECU,electronics_cots,0.75,0.75,0,no_topology_fallback,,supplier_disruption,supplier::T2::Liebherr Aerospace - electronics routing/EMS package,T2,Liebherr Aerospace - electronics routing/EMS package,,,,
74,Commande actionnement ECU,Commande actionnement ECU,electronics_cots,0.75,0.75,1,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=1,supplier_disruption,supplier::T1::Liebherr Aerospace,T1,Liebherr Aerospace,,,,
75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,0.151,0.151,0,no_topology_fallback,,supplier_disruption,supplier::T4::SABIC,T4,SABIC,,,,
75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,0.151,0.151,0,no_topology_fallback,,supplier_disruption,supplier::T3::SABIC LEXAN FST sheet production,T3,SABIC LEXAN FST sheet production,,,,
75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,0.151,0.151,0,no_topology_fallback,,supplier_disruption,supplier::T2::JAMCO Aircraft Interiors - Niigata - thermoforming/finishing process,T2,JAMCO Aircraft Interiors - Niigata - thermoforming/finishing process,,,,
75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,0.151,0.151,0,no_topology_fallback,,supplier_disruption,supplier::T1::JAMCO Aircraft Interiors - Niigata,T1,JAMCO Aircraft Interiors - Niigata,,,,
110,Ens. Coque,NIDA - GLO (moulage par injection plastique),polymer_plastic,8.439,8.439,0,no_topology_fallback,,supplier_disruption,supplier::T1::JAMCO Aircraft Interiors - Niigata,T1,JAMCO Aircraft Interiors - Niigata,,,,
128,Ens. Coque,Résine BR623 - composite,adhesive_composite,0.488,0.488,0,no_topology_fallback,,supplier_disruption,supplier::T1::JAMCO Aircraft Interiors - Niigata,T1,JAMCO Aircraft Interiors - Niigata,,,,
159,Siége,Moulage plastique,polymer_plastic,0.0,6.69155662,64,candidate_scenario_only_mass_review,candidate_scenario_only_mass_review=64,supplier_disruption,supplier::T1::JAMCO Aircraft Interiors - Niigata,T1,JAMCO Aircraft Interiors - Niigata,,,,
161,Siége,65% aluminium,aluminium,0.0,75.378147576,36,candidate_requires_t1_t2_pairing,candidate_requires_t1_t2_pairing=36,supplier_disruption,supplier::T1::JAMCO Aircraft Interiors - Niigata,T1,JAMCO Aircraft Interiors - Niigata,,,,
162,Siége,"16 % Tissu, mousse, polyéthylène",textile_leather,0.0,18.554620942,126,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=126,supplier_disruption,supplier::T1::JAMCO Aircraft Interiors - Niigata,T1,JAMCO Aircraft Interiors - Niigata,,,,
163,Siége,11% Moulage plastique,polymer_plastic,0.0,12.756301898,0,no_topology_fallback,,supplier_disruption,supplier::T1::JAMCO Aircraft Interiors - Niigata,T1,JAMCO Aircraft Interiors - Niigata,,,,
164,Siége,"8% autre (silicium, cuirs synthétique)",textile_leather,0.0,9.277310471,54,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=54,supplier_disruption,supplier::T1::JAMCO Aircraft Interiors - Niigata,T1,JAMCO Aircraft Interiors - Niigata,,,,
165,Siége,"16 % Tissu, mousse",textile_leather,0.0,18.554620942,0,no_topology_fallback,,supplier_disruption,supplier::T1::JAMCO Aircraft Interiors - Niigata,T1,JAMCO Aircraft Interiors - Niigata,,,,
166,siege,titane fibre de carbone,titanium_carbon,0.0,8.927,0,no_topology_fallback,,supplier_disruption,supplier::T1::JAMCO Aircraft Interiors - Niigata,T1,JAMCO Aircraft Interiors - Niigata,,,,
172,Siége,Moulage plastique,polymer_plastic,0.0,6.69155662,64,candidate_scenario_only_mass_review,candidate_scenario_only_mass_review=64,supplier_disruption,supplier::T1::JAMCO Aircraft Interiors - Niigata,T1,JAMCO Aircraft Interiors - Niigata,,,,
173,Siége,Moulage plastique,polymer_plastic,0.0,6.69155662,64,candidate_scenario_only_mass_review,candidate_scenario_only_mass_review=64,supplier_disruption,supplier::T1::JAMCO Aircraft Interiors - Niigata,T1,JAMCO Aircraft Interiors - Niigata,,,,
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,1.928,1.928,4,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=4,supplier_disruption,supplier::T2::Krohne,T2,Krohne,,,,
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",electronics_cots,0.0,2.378,4,candidate_scenario_only_mass_review,candidate_scenario_only_mass_review=4,supplier_disruption,supplier::T2::Krohne,T2,Krohne,,,,
126,Powerbox,powerbox,electronics_cots,1.5,1.5,3,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=3,supplier_disruption,supplier::T2::Krohne,T2,Krohne,,,,
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,0.45,0.45,4,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=4,supplier_disruption,supplier::T2::Krohne,T2,Krohne,,,,
86,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.005,1.005,0,no_topology_fallback,,supplier_disruption,supplier::T4::BASF - PU chemistry source candidate,T4,BASF - PU chemistry source candidate,,,,
87,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.121,0.121,0,no_topology_fallback,,supplier_disruption,supplier::T4::BASF - PU chemistry source candidate,T4,BASF - PU chemistry source candidate,,,,
88,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.871,0.871,0,no_topology_fallback,,supplier_disruption,supplier::T4::BASF - PU chemistry source candidate,T4,BASF - PU chemistry source candidate,,,,
89,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.854,0.854,0,no_topology_fallback,,supplier_disruption,supplier::T4::BASF - PU chemistry source candidate,T4,BASF - PU chemistry source candidate,,,,
90,Ens. Coussin dossier,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.091,1.091,0,no_topology_fallback,,supplier_disruption,supplier::T4::BASF - PU chemistry source candidate,T4,BASF - PU chemistry source candidate,,,,
91,Ens. Stowage latéral,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.016,0.016,0,no_topology_fallback,,supplier_disruption,supplier::T4::BASF - PU chemistry source candidate,T4,BASF - PU chemistry source candidate,,,,
92,Manchette acc. Mobile,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,0.039,0,no_topology_fallback,,supplier_disruption,supplier::T4::BASF - PU chemistry source candidate,T4,BASF - PU chemistry source candidate,,,,
93,Manchette équipée,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,0.039,0,no_topology_fallback,,supplier_disruption,supplier::T4::BASF - PU chemistry source candidate,T4,BASF - PU chemistry source candidate,,,,
86,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.005,1.005,0,no_topology_fallback,,supplier_disruption,supplier::T3::FRANKLIN - FRMC55 certified foam/fabric sourcing package,T3,FRANKLIN - FRMC55 certified foam/fabric sourcing package,,,,
87,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.121,0.121,0,no_topology_fallback,,supplier_disruption,supplier::T3::FRANKLIN - FRMC55 certified foam/fabric sourcing package,T3,FRANKLIN - FRMC55 certified foam/fabric sourcing package,,,,
88,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.871,0.871,0,no_topology_fallback,,supplier_disruption,supplier::T3::FRANKLIN - FRMC55 certified foam/fabric sourcing package,T3,FRANKLIN - FRMC55 certified foam/fabric sourcing package,,,,
89,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.854,0.854,0,no_topology_fallback,,supplier_disruption,supplier::T3::FRANKLIN - FRMC55 certified foam/fabric sourcing package,T3,FRANKLIN - FRMC55 certified foam/fabric sourcing package,,,,
90,Ens. Coussin dossier,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.091,1.091,0,no_topology_fallback,,supplier_disruption,supplier::T3::FRANKLIN - FRMC55 certified foam/fabric sourcing package,T3,FRANKLIN - FRMC55 certified foam/fabric sourcing package,,,,
86,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.005,1.005,14,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=14,supplier_disruption,supplier::T2::FRANKLIN - internal cutting/gluing process,T2,FRANKLIN - internal cutting/gluing process,,,,
87,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.121,0.121,14,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=14,supplier_disruption,supplier::T2::FRANKLIN - internal cutting/gluing process,T2,FRANKLIN - internal cutting/gluing process,,,,
88,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.871,0.871,14,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=14,supplier_disruption,supplier::T2::FRANKLIN - internal cutting/gluing process,T2,FRANKLIN - internal cutting/gluing process,,,,
89,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.854,0.854,14,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=14,supplier_disruption,supplier::T2::FRANKLIN - internal cutting/gluing process,T2,FRANKLIN - internal cutting/gluing process,,,,
90,Ens. Coussin dossier,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.091,1.091,14,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=14,supplier_disruption,supplier::T2::FRANKLIN - internal cutting/gluing process,T2,FRANKLIN - internal cutting/gluing process,,,,
86,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.005,1.005,12,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=6;candidate_requires_t1_t2_pairing=6,supplier_disruption,supplier::T1::FRANKLIN,T1,FRANKLIN,,,,
87,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.121,0.121,12,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=6;candidate_requires_t1_t2_pairing=6,supplier_disruption,supplier::T1::FRANKLIN,T1,FRANKLIN,,,,
88,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.871,0.871,12,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=6;candidate_requires_t1_t2_pairing=6,supplier_disruption,supplier::T1::FRANKLIN,T1,FRANKLIN,,,,
89,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.854,0.854,12,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=6;candidate_requires_t1_t2_pairing=6,supplier_disruption,supplier::T1::FRANKLIN,T1,FRANKLIN,,,,
90,Ens. Coussin dossier,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.091,1.091,12,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=6;candidate_requires_t1_t2_pairing=6,supplier_disruption,supplier::T1::FRANKLIN,T1,FRANKLIN,,,,
91,Ens. Stowage latéral,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.016,0.016,0,no_topology_fallback,,supplier_disruption,supplier::T3::MGA Villeneuve St Lot - FRMC55 certified foam/fabric sourcing package,T3,MGA Villeneuve St Lot - FRMC55 certified foam/fabric sourcing package,,,,
91,Ens. Stowage latéral,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.016,0.016,12,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=12,supplier_disruption,supplier::T2::MGA Villeneuve St Lot - internal FRMC55 integration process,T2,MGA Villeneuve St Lot - internal FRMC55 integration process,,,,
92,Manchette acc. Mobile,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,0.039,0,no_topology_fallback,,supplier_disruption,supplier::T3::MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,T3,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,,,,
93,Manchette équipée,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,0.039,0,no_topology_fallback,,supplier_disruption,supplier::T3::MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,T3,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,,,,
92,Manchette acc. Mobile,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,0.039,14,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=14,supplier_disruption,supplier::T2::MGR Foamtex Ltd - internal foam/upholstery process,T2,MGR Foamtex Ltd - internal foam/upholstery process,,,,
93,Manchette équipée,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,0.039,14,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=14,supplier_disruption,supplier::T2::MGR Foamtex Ltd - internal foam/upholstery process,T2,MGR Foamtex Ltd - internal foam/upholstery process,,,,
92,Manchette acc. Mobile,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,0.039,12,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=6;candidate_requires_t1_t2_pairing=6,supplier_disruption,supplier::T1::MGR Foamtex Ltd,T1,MGR Foamtex Ltd,,,,
93,Manchette équipée,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,0.039,12,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=6;candidate_requires_t1_t2_pairing=6,supplier_disruption,supplier::T1::MGR Foamtex Ltd,T1,MGR Foamtex Ltd,,,,
103,Capot NFC,kydex,polymer_plastic,0.069,0.069,336,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=336,supplier_disruption,"supplier::T4::Shandong Loyal Chemical Co., Ltd.",T4,"Shandong Loyal Chemical Co., Ltd.",,,,
104,Coussin ottoman,kydex,polymer_plastic,0.037,0.037,336,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=336,supplier_disruption,"supplier::T4::Shandong Loyal Chemical Co., Ltd.",T4,"Shandong Loyal Chemical Co., Ltd.",,,,
105,Ens. Stowage latéral,kydex,polymer_plastic,1.161,1.161,336,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=336,supplier_disruption,"supplier::T4::Shandong Loyal Chemical Co., Ltd.",T4,"Shandong Loyal Chemical Co., Ltd.",,,,
106,Ensemble porte,kydex,polymer_plastic,1.384,1.384,336,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=336,supplier_disruption,"supplier::T4::Shandong Loyal Chemical Co., Ltd.",T4,"Shandong Loyal Chemical Co., Ltd.",,,,
107,Ens. Tablette cocktail,kydex,polymer_plastic,0.715,0.715,336,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=336,supplier_disruption,"supplier::T4::Shandong Loyal Chemical Co., Ltd.",T4,"Shandong Loyal Chemical Co., Ltd.",,,,
108,Ens. Tablette repas,kydex,polymer_plastic,0.059,0.059,336,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=336,supplier_disruption,"supplier::T4::Shandong Loyal Chemical Co., Ltd.",T4,"Shandong Loyal Chemical Co., Ltd.",,,,
109,Stowage assemblé avec porte,kydex,polymer_plastic,0.226,0.226,336,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=336,supplier_disruption,"supplier::T4::Shandong Loyal Chemical Co., Ltd.",T4,"Shandong Loyal Chemical Co., Ltd.",,,,
111,Ceinture de sécurité,nylon,textile_leather,0.18,0.18,208,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=208,supplier_disruption,supplier::T1::AmSafe,T1,AmSafe,,,,
112,Support clamps,nylon,textile_leather,1.284,1.284,208,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=208,supplier_disruption,supplier::T1::AmSafe,T1,AmSafe,,,,
113,Ens. Stowage latéral,nylon,textile_leather,0.016417,0.016416667,208,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=208,supplier_disruption,supplier::T1::AmSafe,T1,AmSafe,,,,
114,Ens. Palette optimisée,nylon,textile_leather,0.002188,0.0021875,208,candidate_requires_allocation_and_qualification,candidate_requires_allocation_and_qualification=208,supplier_disruption,supplier::T1::AmSafe,T1,AmSafe,,,,
