record_index,system,component,family,current_mass_kg,recommended_additive_mass_kg,topdown_reference_mass_kg,mass_policy,mass_policy_action,is_seat_aggregate,duplicate_signature_count,duplicate_mass_warning,lca_use_class,lca_confidence,mass_method,match_level,equipment_match,material_match,raw_materials_status,primary_path_id,t4,t3,t2,t1
74,Commande actionnement ECU,Commande actionnement ECU,electronics_cots,0.75,0.75,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,COMMANDE ACTIONNEMENT,70 al 6000 30 analog pcb,missing_source,R074-P0001,Liebherr Aerospace - COTS electronics component market basket,Liebherr Aerospace - COTS electronics subassembly/PCB package,Liebherr Aerospace - electronics routing/EMS package,Liebherr Aerospace
75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,0.151,0.151,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,BUMPER VERSION PORTE,copolimer lexan fst 9705,inferred_from_component_label,R075-P0001,SABIC,SABIC LEXAN FST sheet production,JAMCO Aircraft Interiors - Niigata - thermoforming/finishing process,JAMCO Aircraft Interiors - Niigata
76,Manchette acc. Mobile,cuir,textile_leather,0.039,0.039,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,MANCHETTE ACC MOBILE,ultra leather 330,inferred_from_component_label,R076-P0001,Gruppo Mastrotto - hide/raw leather source assumption,Gruppo Mastrotto,Maison Fichet,MGA Villeneuve St Lot
77,Manchette équipée,cuir,textile_leather,0.06,0.06,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,MANCHETTE EQUIPEE,ultra leather 330,inferred_from_component_label,R077-P0001,Gruppo Mastrotto - hide/raw leather source assumption,Gruppo Mastrotto,Maison Fichet,MGA Villeneuve St Lot
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,1.928,1.928,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,"ECRAN 17,3 INCH PNR 00-5155-02",screen display cots,inferred_from_component_label,R078-P0001,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,Krohne,Thales
79,Accoudoir allée,Ertalon,polymer_plastic,0.01,0.01,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ACCOUDOIR ALLEE,ertalon,inferred_from_component_label,R079-P0013,Mitsubishi Chemical,Toray Industries,Ensinger,SUMPAR
80,Ens. Stowage latéral,Ertalon,polymer_plastic,0.003,0.003,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STOWAGE LATERAL,ertalon,inferred_from_component_label,R080-P0013,Mitsubishi Chemical,Toray Industries,Ensinger,SUMPAR
81,Ens. Structure fauteuil,inox,steel,0.045,0.045,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STRUCTURE FAUTEUIL,inox,inferred_from_component_label,R081-P0011,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
82,Ensemble porte,Ertalon,polymer_plastic,0.002,0.002,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE PORTE,ertalon,inferred_from_component_label,R082-P0013,Mitsubishi Chemical,Toray Industries,Ensinger,SUMPAR
83,Ens. Tablette repas,Ertalon,polymer_plastic,0.007,0.007,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS TABLETTE REPAS,ertalon,inferred_from_component_label,R083-P0013,Mitsubishi Chemical,Toray Industries,Ensinger,SUMPAR
84,Stowage assemblé avec porte,Ertalon,polymer_plastic,0.02,0.02,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,STOWAGE ASSEMBLE AVEC PORTE,ertalon,inferred_from_component_label,R084-P0013,Mitsubishi Chemical,Toray Industries,Ensinger,SUMPAR
85,Structure ottoman horizontale,Ertalon,polymer_plastic,0.0002725,0.0002725,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,Structure Ottoman (horizontale),ertalon,inferred_from_component_label,R085-P0013,Mitsubishi Chemical,Toray Industries,Ensinger,SUMPAR
86,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.005,1.005,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,"COUSSIN OTTOMAN STD PITCH 38"" QTU",frmc55,inferred_from_component_label,R086-P0021,BASF - PU chemistry source candidate,FRANKLIN - FRMC55 certified foam/fabric sourcing package,FRANKLIN - internal cutting/gluing process,FRANKLIN
87,Coussin têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.121,0.121,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,COUSSIN TETIERE,frmc55,inferred_from_component_label,R087-P0021,BASF - PU chemistry source candidate,FRANKLIN - FRMC55 certified foam/fabric sourcing package,FRANKLIN - internal cutting/gluing process,FRANKLIN
88,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.871,0.871,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS COUSSIN ASSISE,frmc55,inferred_from_component_label,R088-P0021,BASF - PU chemistry source candidate,FRANKLIN - FRMC55 certified foam/fabric sourcing package,FRANKLIN - internal cutting/gluing process,FRANKLIN
89,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.854,0.854,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS COUSSIN DOSSIER VERSION TETIERE,frmc55,inferred_from_component_label,R089-P0021,BASF - PU chemistry source candidate,FRANKLIN - FRMC55 certified foam/fabric sourcing package,FRANKLIN - internal cutting/gluing process,FRANKLIN
90,Ens. Coussin dossier,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.091,1.091,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS COUSSIN DOSSIER,frmc55,inferred_from_component_label,R090-P0021,BASF - PU chemistry source candidate,FRANKLIN - FRMC55 certified foam/fabric sourcing package,FRANKLIN - internal cutting/gluing process,FRANKLIN
91,Ens. Stowage latéral,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.016,0.016,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STOWAGE LATERAL,frmc55,inferred_from_component_label,R091-P0017,BASF - PU chemistry source candidate,MGA Villeneuve St Lot - FRMC55 certified foam/fabric sourcing package,MGA Villeneuve St Lot - internal FRMC55 integration process,MGA Villeneuve St Lot
92,Manchette acc. Mobile,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,0.039,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,MANCHETTE ACC MOBILE,frmc55,inferred_from_component_label,R092-P0021,BASF - PU chemistry source candidate,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,MGR Foamtex Ltd - internal foam/upholstery process,MGR Foamtex Ltd
93,Manchette équipée,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.039,0.039,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,MANCHETTE EQUIPEE,frmc55,inferred_from_component_label,R093-P0021,BASF - PU chemistry source candidate,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,MGR Foamtex Ltd - internal foam/upholstery process,MGR Foamtex Ltd
94,Accoudoir allée,inox,steel,0.018054,0.018054,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ACCOUDOIR ALLEE,inox,inferred_from_component_label,R094-P0011,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
95,Ens. Palette optimisée,inox,steel,0.023743,0.023743,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE PALETTE OPTIMISEE,inox,inferred_from_component_label,R095-P0011,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
96,Ensemble porte,inox,steel,0.0047592,0.0047592,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE PORTE,inox,inferred_from_component_label,R096-P0011,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
97,Ens. Structure fauteuil,GLO: moulage par injection plastique,polymer_plastic,0.081,0.081,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,ENS STRUCTURE FAUTEUIL,plastic (2 BOM material rows),inferred_from_component_label,R097-P0005,BASF,Toray Industries,Ensinger,Senior Aerospace Thailand
98,Ens. Tablette cocktail,inox,steel,0.012,0.012,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS TABLETTE COCKTAIL,inox,inferred_from_component_label,R098-P0011,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
99,Ens. Tablette repas,inox,steel,0.014,0.014,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS TABLETTE REPAS,inox,inferred_from_component_label,R099-P0011,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
100,Ens. Têtière,inox,steel,0.001,0.001,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE TETIERE,inox,inferred_from_component_label,R100-P0011,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
101,Stowage assemblé avec porte,inox,steel,0.00928,0.00928,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,STOWAGE ASSEMBLE AVEC PORTE,inox,inferred_from_component_label,R101-P0011,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
102,Support écran,inox,steel,0.014,0.014,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,SUPPORT ECRAN ASSEMBLE,inox,inferred_from_component_label,R102-P0011,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
103,Capot NFC,kydex,polymer_plastic,0.069,0.069,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,CAPOT NFC,kydex,inferred_from_component_label,R103-P0008,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE
104,Coussin ottoman,kydex,polymer_plastic,0.037,0.037,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,"COUSSIN OTTOMAN STD PITCH 38"" QTU",kydex,inferred_from_component_label,R104-P0008,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE
105,Ens. Stowage latéral,kydex,polymer_plastic,1.161,1.161,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS STOWAGE LATERAL,kydex,inferred_from_component_label,R105-P0008,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE
106,Ensemble porte,kydex,polymer_plastic,1.384,1.384,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE PORTE,kydex 5555,inferred_from_component_label,R106-P0008,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE
107,Ens. Tablette cocktail,kydex,polymer_plastic,0.715,0.715,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,ENS TABLETTE COCKTAIL,plastic (2 BOM material rows),inferred_from_component_label,R107-P0008,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE
108,Ens. Tablette repas,kydex,polymer_plastic,0.059,0.059,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS TABLETTE REPAS,kydex 5555,inferred_from_component_label,R108-P0008,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE
109,Stowage assemblé avec porte,kydex,polymer_plastic,0.226,0.226,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,STOWAGE ASSEMBLE AVEC PORTE,kydex,inferred_from_component_label,R109-P0008,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE
110,Ens. Coque,NIDA - GLO (moulage par injection plastique),polymer_plastic,8.439,8.439,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE COQUE,panneau nida lamina ep12 7,inferred_from_component_label,R110-P0003,Mitsubishi Chemical,Toray Industries,Ensinger,JAMCO Aircraft Interiors - Niigata
111,Ceinture de sécurité,nylon,textile_leather,0.18,0.18,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_mixed_material_share,equipment_material_split,CEINTURE DE SECURITE,nylon share of 80%INOX 20%Nylon,inferred_from_component_label,R111-P0016,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe
112,Support clamps,nylon,textile_leather,1.284,1.284,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_mixed_material_share,equipment_material_split,SUPPORT + CLAMPS,PA66 share of 50% INOX 50% PA66,inferred_from_component_label,R112-P0016,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe
113,Ens. Stowage latéral,nylon,textile_leather,0.016416667,0.016416667,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,ENS STOWAGE LATERAL,textile_foam_polyethylene (2 BOM material rows),inferred_from_component_label,R113-P0016,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe
114,Ens. Palette optimisée,nylon,textile_leather,0.0021875,0.0021875,0.0,include_with_review,Non-aggregate medium-confidence component estimate; keep visible and review against equipment subtotal.,no,1,no,usable_with_review,medium,bom_system_material_family_sum,equipment_material_family,ENSEMBLE PALETTE OPTIMISEE,textile_foam_polyethylene (1 BOM material rows),inferred_from_component_label,R114-P0016,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe
115,Ensemble porte,nylon,textile_leather,0.0004003,0.0004003,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE PORTE,nylon,inferred_from_component_label,R115-P0016,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe
116,Ens. Structure fixe,35NC6 (nickel-chrome),steel,0.029,0.029,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE STRUCTURE FIXE,35nc6,inferred_from_component_label,R116-P0001,Saarstahl,Aubert & Duval,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot
117,Ens. Tablette cocktail,nylon,textile_leather,0.002,0.002,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS TABLETTE COCKTAIL,nylon,inferred_from_component_label,R117-P0016,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe
118,Ens. Tablette repas,nylon,textile_leather,0.0002,0.0002,0.0,include_with_review,Non-aggregate medium-confidence component estimate; keep visible and review against equipment subtotal.,no,1,no,usable_with_review,medium,bom_system_material_family_sum,equipment_material_family,ENS TABLETTE REPAS,textile_foam_polyethylene (1 BOM material rows),inferred_from_component_label,R118-P0016,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe
119,Ens. Têtière,nylon,textile_leather,0.003,0.003,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE TETIERE,nylon,inferred_from_component_label,R119-P0016,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe
120,Stowage assemblé avec porte,nylon,textile_leather,0.000375,0.000375,0.0,include_with_review,Non-aggregate medium-confidence component estimate; keep visible and review against equipment subtotal.,no,1,no,usable_with_review,medium,bom_system_material_family_sum,equipment_material_family,STOWAGE ASSEMBLE AVEC PORTE,textile_foam_polyethylene (1 BOM material rows),inferred_from_component_label,R120-P0016,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",electronics_cots,2.378,0.0,2.378,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,1,no,scenario_only_review_required,medium_low,bom_global_material_total,global_material,manual_alias,screen display cots,inferred_from_component_label,R121-P0001,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,Krohne,Thales
122,Ens. Structure fixe,acier,steel,1.4326471,1.4326471,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE STRUCTURE FIXE,acier,inferred_from_component_label,R122-P0035,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE
123,Ens. Structure fixe,Alu,aluminium,3.5410117,3.5410117,0.0,include_with_review,Non-aggregate medium-confidence component estimate; keep visible and review against equipment subtotal.,no,1,no,usable_with_review,medium,bom_system_material_family_sum,equipment_material_family,ENSEMBLE STRUCTURE FIXE,aluminium (1 BOM material rows),inferred_from_component_label,R123-P0001,Aluminium Corporation of China / Chalco,Euralliage Ile de France,SUMPAR - internal machining/forming process,SUMPAR
124,Ens. Structure fixe,caoutchouc,polymer_plastic,0.01,0.01,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE STRUCTURE FIXE,caoutchouc,inferred_from_component_label,R124-P0016,Halcyon Hevecam,Ensinger - material intermediate sourcing,Ensinger,MGA Villeneuve St Lot
125,Ens. Palette optimisée,Polychloroprene,polymer_plastic,0.0049932,0.0049932,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE PALETTE OPTIMISEE,polychloroprene,inferred_from_component_label,R125-P0016,Mitsubishi Chemical,Ensinger - material intermediate sourcing,Ensinger,SUMPAR
126,Powerbox,powerbox,electronics_cots,1.5,1.5,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,00-5136-51 Rev F Seat Power Box 4 (SPB4),power box cots,inferred_from_component_label,R126-P0001,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,Krohne,Thales
128,Ens. Coque,Résine BR623 - composite,adhesive_composite,0.488,0.488,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE COQUE,resine br623 p4,inferred_from_component_label,R128-P0002,BASF,Henkel,Ensinger,JAMCO Aircraft Interiors - Niigata
129,Ens. Tablette repas,Silicone50 shore,rubber_silicone,0.0007,0.0007,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS TABLETTE REPAS,silicone 50 shore,inferred_from_component_label,R129-P0001,Shin-Etsu Silicones,Saint-Gobain,Silicone Engineering,ETS Gattefin
130,Remote extender unit,télécommande,general,0.07,0.07,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,REMOTE EXTENDER UNIT 3 (REU3),50 ptfe 50 analog pcb,inferred_from_component_label,R130-P0003,Mitsubishi Chemical,COTS electronics PCB/subassembly package,Ensinger,Thales
131,Coussin têtière,tissu,textile_leather,0.191,0.191,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,COUSSIN TETIERE,textile (3 BOM material rows),inferred_from_component_label,R131-P0001,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin
132,Ens. Coussin assise,tissu,textile_leather,0.42,0.42,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,ENS COUSSIN ASSISE,textile (2 BOM material rows),inferred_from_component_label,R132-P0001,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin
133,Ens.coussin dossier version têtière,tissu,textile_leather,0.748,0.748,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,ENS COUSSIN DOSSIER VERSION TETIERE,textile (3 BOM material rows),inferred_from_component_label,R133-P0001,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin
134,Ens. Coussin dossier,tissu,textile_leather,0.743,0.743,0.0,include_baseline_estimate,Equipment/material-family estimate; usable for baseline sizing but not as exact BOM proof.,no,1,no,usable_for_baseline,medium_high,bom_system_material_family_sum,equipment_material_family,ENS COUSSIN DOSSIER,textile (3 BOM material rows),inferred_from_component_label,R134-P0001,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin
135,Ens. Tablette cocktail,tissu,textile_leather,0.002,0.002,0.0,include_with_review,Non-aggregate medium-confidence component estimate; keep visible and review against equipment subtotal.,no,1,no,usable_with_review,medium,bom_system_material_family_sum,equipment_material_family,ENS TABLETTE COCKTAIL,textile (1 BOM material rows),inferred_from_component_label,R135-P0001,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin
136,Ens. Têtière,tissu,textile_leather,0.002,0.002,0.0,include_with_review,Non-aggregate medium-confidence component estimate; keep visible and review against equipment subtotal.,no,1,no,usable_with_review,medium,bom_system_material_family_sum,equipment_material_family,ENSEMBLE TETIERE,textile (1 BOM material rows),inferred_from_component_label,R136-P0001,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin
137,Padding (rembourrage),ULTRA LEATHER SMOKE,textile_leather,0.099,0.0,0.099,topdown_reference_only,Do not add to component-level nominal mass; use as a top-down seat reference or option package.,yes,1,no,scenario_only_review_required,medium_low,bom_global_material_total,global_material,manual_alias,ultra leather 330,inferred_from_component_label,R137-P0001,BASF,Ultrafabrics,MGR Foamtex Ltd,Celso SAS
138,Ens. Structure fixe,inox,steel,0.027,0.027,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE STRUCTURE FIXE,inox,inferred_from_component_label,R138-P0011,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand
139,Ens. Structure fixe,nylon,textile_leather,0.0145416,0.0145416,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENSEMBLE STRUCTURE FIXE,nylon,inferred_from_component_label,R139-P0016,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe
140,Coussin têtière,velcro,textile_leather,0.007,0.007,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,COUSSIN TETIERE,velcro,missing_source,R140-P0001,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ACH
141,Ens.coussin dossier version têtière,velcro,textile_leather,0.005,0.005,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS COUSSIN DOSSIER VERSION TETIERE,velcro,missing_source,R141-P0001,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ACH
142,Ens. Coussin dossier,velcro,textile_leather,0.006,0.006,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,ENS COUSSIN DOSSIER,velcro,missing_source,R142-P0001,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ACH
143,Manchette équipée,velcro,textile_leather,0.006,0.006,0.0,include_exact_component,Exact equipment/material mass from quantity_material.xlsx.,no,1,no,quantitative_ready,high,bom_exact_system_material,exact_equipment_material,MANCHETTE EQUIPEE,velcro,missing_source,R143-P0001,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ACH
