day,node_id,item_id,stock_before_production
13,M-1810,item:002612,0.05075
13,M-1810,item:016332,0.01218
13,M-1810,item:029313,0.001015
13,M-1810,item:039668,0.001015
13,M-1810,item:049371,0.037555
13,M-1810,item:055703,0.00203
13,M-1810,item:099439,0.05075
13,M-1810,item:338928,25.0
13,M-1810,item:338929,25.0
13,M-1810,item:426331,0.275
13,M-1810,item:693055,10.15
13,M-1810,item:693710,840.0
14,M-1430,item:038005,0.437479
14,M-1430,item:042342,1508.55
14,M-1430,item:333362,25.0
14,M-1430,item:344135,25.0
14,M-1430,item:708073,0.19825
14,M-1430,item:730384,5.3
14,M-1430,item:734545,0.2
14,M-1430,item:773474,241.36795
14,M-1810,item:001757,0.0406
14,M-1810,item:001848,0.03045
14,M-1810,item:001893,0.19285
14,M-1810,item:002612,0.05075
14,M-1810,item:016332,0.01218
14,M-1810,item:029313,0.001015
14,M-1810,item:039668,0.001015
14,M-1810,item:049371,0.037555
14,M-1810,item:055703,0.00203
14,M-1810,item:099439,0.05075
14,M-1810,item:338928,25.0
14,M-1810,item:338929,25.0
14,M-1810,item:426331,0.275
14,M-1810,item:693055,10.15
14,M-1810,item:693710,840.0
15,M-1430,item:038005,0.437479
15,M-1430,item:042342,1508.55
15,M-1430,item:333362,25.0
15,M-1430,item:344135,25.0
15,M-1430,item:708073,0.19825
15,M-1430,item:730384,5.3
15,M-1430,item:734545,0.2
15,M-1430,item:773474,241.36795
15,M-1810,item:001757,0.0406
15,M-1810,item:001848,0.03045
15,M-1810,item:001893,0.19285
15,M-1810,item:002612,0.05075
15,M-1810,item:016332,0.01218
15,M-1810,item:029313,0.001015
15,M-1810,item:039668,0.001015
15,M-1810,item:049371,0.037555
15,M-1810,item:055703,0.00203
15,M-1810,item:099439,0.05075
15,M-1810,item:338928,25.0
15,M-1810,item:338929,25.0
15,M-1810,item:426331,0.275
15,M-1810,item:693055,10.15
15,M-1810,item:693710,840.0
16,M-1430,item:038005,0.437479
16,M-1430,item:042342,1508.55
16,M-1430,item:333362,25.0
